Gcolumna_263	c59246_g2_i1
Gcolumna_264	c58699_g1_i1
Gcolumna_265	c58737_g1_i1
Gcolumna_266	c59039_g1_i1
Gcolumna_267	c58706_g1_i1
Gcolumna_268	c58680_g1_i1
Gcolumna_269	c58715_g1_i1
Gcolumna_270	c59369_g1_i1
Gcolumna_271	c58516_g1_i2
Gcolumna_272	c58807_g1_i1
Gcolumna_273	c58919_g1_i1
Gcolumna_274	c58798_g1_i1
Gcolumna_275	c58798_g1_i2
Gcolumna_276	c59080_g1_i2
Gcolumna_277	c59077_g1_i1
Gcolumna_278	c59377_g1_i1
Gcolumna_279	c59448_g1_i1
Gcolumna_280	c59449_g1_i1
Gcolumna_281	c58743_g1_i1
Gcolumna_282	c58711_g2_i1
Gcolumna_283	c58562_g2_i1
Gcolumna_284	c59002_g2_i1
Gcolumna_285	c58664_g1_i1
Gcolumna_286	c58841_g1_i1
Gcolumna_287	c59163_g1_i1
Gcolumna_288	c59163_g1_i2
Gcolumna_289	c59252_g1_i1
Gcolumna_290	c96011_g1_i1
Gcolumna_291	c96516_g1_i1
Gcolumna_292	c96516_g1_i2
Gcolumna_293	c96516_g1_i3
Gcolumna_294	c96516_g1_i4
Gcolumna_295	c96277_g1_i1
Gcolumna_296	c96277_g1_i2
Gcolumna_297	c96277_g1_i3
Gcolumna_298	c96277_g1_i4
Gcolumna_299	c95821_g1_i1
Gcolumna_300	c95821_g1_i2
Gcolumna_301	c96194_g1_i1
Gcolumna_302	c96194_g1_i2
Gcolumna_303	c96194_g1_i3
Gcolumna_304	c95788_g1_i1
Gcolumna_305	c96042_g1_i1
Gcolumna_306	c96042_g1_i2
Gcolumna_307	c96588_g2_i1
Gcolumna_308	c95756_g1_i1
Gcolumna_309	c95943_g1_i1
Gcolumna_310	c95943_g2_i1
Gcolumna_311	c95943_g2_i2
Gcolumna_312	c95943_g3_i1
Gcolumna_313	c96430_g2_i2
Gcolumna_314	c96430_g2_i3
Gcolumna_315	c96430_g2_i4
Gcolumna_316	c96164_g1_i2
Gcolumna_317	c96254_g1_i1
Gcolumna_318	c96597_g1_i1
Gcolumna_319	c96597_g1_i2
Gcolumna_320	c96597_g1_i3
Gcolumna_321	c96597_g1_i4
Gcolumna_322	c96597_g2_i1
Gcolumna_323	c96597_g1_i5
Gcolumna_324	c96597_g1_i6
Gcolumna_325	c96331_g1_i1
Gcolumna_326	c96331_g1_i2
Gcolumna_327	c95933_g1_i1
Gcolumna_328	c96043_g1_i1
Gcolumna_329	c96494_g1_i1
Gcolumna_330	c96494_g2_i1
Gcolumna_331	c96149_g1_i1
Gcolumna_332	c96149_g1_i2
Gcolumna_333	c96149_g1_i3
Gcolumna_334	c96149_g1_i4
Gcolumna_335	c96149_g1_i5
Gcolumna_336	c95860_g1_i1
Gcolumna_337	c95860_g1_i2
Gcolumna_338	c95860_g1_i3
Gcolumna_339	c96118_g1_i1
Gcolumna_340	c96118_g1_i3
Gcolumna_341	c96046_g1_i1
Gcolumna_342	c95820_g1_i1
Gcolumna_343	c96688_g1_i2
Gcolumna_344	c96688_g1_i3
Gcolumna_345	c96688_g1_i4
Gcolumna_346	c96688_g1_i5
Gcolumna_347	c96408_g1_i1
Gcolumna_348	c96440_g1_i1
Gcolumna_349	c96440_g1_i3
Gcolumna_350	c96440_g1_i4
Gcolumna_351	c96167_g1_i1
Gcolumna_352	c96167_g1_i2
Gcolumna_353	c95826_g1_i1
Gcolumna_354	c96096_g1_i1
Gcolumna_355	c96096_g1_i2
Gcolumna_356	c95938_g1_i1
Gcolumna_357	c95938_g1_i2
Gcolumna_358	c96603_g1_i1
Gcolumna_359	c95947_g1_i1
Gcolumna_360	c95781_g1_i1
Gcolumna_361	c95781_g1_i2
Gcolumna_362	c96246_g1_i1
Gcolumna_363	c96176_g1_i1
Gcolumna_364	c96176_g1_i2
Gcolumna_365	c96176_g1_i3
Gcolumna_366	c96176_g1_i4
Gcolumna_367	c96645_g2_i1
Gcolumna_368	c96645_g2_i3
Gcolumna_369	c96334_g1_i1
Gcolumna_370	c96334_g1_i2
Gcolumna_371	c96334_g1_i3
Gcolumna_372	c96454_g1_i1
Gcolumna_373	c96454_g1_i2
Gcolumna_374	c96626_g1_i1
Gcolumna_375	c95812_g1_i2
Gcolumna_376	c96675_g2_i1
Gcolumna_377	c96675_g2_i2
Gcolumna_378	c96217_g1_i1
Gcolumna_379	c96567_g1_i1
Gcolumna_380	c96567_g1_i2
Gcolumna_381	c96169_g1_i1
Gcolumna_382	c96169_g1_i2
Gcolumna_383	c96169_g1_i3
Gcolumna_384	c96169_g1_i4
Gcolumna_385	c96169_g1_i7
Gcolumna_386	c96169_g1_i8
Gcolumna_387	c96469_g1_i1
Gcolumna_388	c96469_g1_i2
Gcolumna_389	c96469_g1_i3
Gcolumna_390	c96469_g1_i4
Gcolumna_391	c96462_g1_i1
Gcolumna_392	c96462_g1_i2
Gcolumna_393	c96462_g1_i3
Gcolumna_394	c96433_g1_i1
Gcolumna_395	c96433_g1_i2
Gcolumna_396	c96679_g1_i1
Gcolumna_397	c96615_g1_i1
Gcolumna_398	c96615_g1_i2
Gcolumna_399	c96153_g2_i1
Gcolumna_400	c96249_g1_i1
Gcolumna_401	c96727_g1_i1
Gcolumna_402	c96727_g1_i3
Gcolumna_403	c96727_g1_i4
Gcolumna_404	c96727_g1_i5
Gcolumna_405	c96470_g1_i1
Gcolumna_406	c95974_g2_i1
Gcolumna_407	c96402_g1_i1
Gcolumna_408	c96245_g1_i1
Gcolumna_409	c96245_g1_i2
Gcolumna_410	c96280_g1_i1
Gcolumna_411	c96280_g1_i2
Gcolumna_412	c96280_g1_i3
Gcolumna_413	c96280_g1_i6
Gcolumna_414	c96280_g1_i7
Gcolumna_415	c96280_g1_i8
Gcolumna_416	c96506_g2_i1
Gcolumna_417	c96506_g2_i2
Gcolumna_418	c96506_g2_i3
Gcolumna_419	c96506_g2_i4
Gcolumna_420	c96506_g2_i5
Gcolumna_421	c96506_g2_i6
Gcolumna_422	c96132_g1_i2
Gcolumna_423	c96621_g1_i1
Gcolumna_424	c96621_g1_i3
Gcolumna_425	c95832_g1_i1
Gcolumna_426	c95832_g1_i3
Gcolumna_427	c96533_g1_i1
Gcolumna_428	c96273_g2_i1
Gcolumna_429	c96273_g2_i2
Gcolumna_430	c95795_g2_i1
Gcolumna_431	c96456_g1_i2
Gcolumna_432	c95797_g1_i3
Gcolumna_433	c96037_g1_i1
Gcolumna_434	c95837_g1_i1
Gcolumna_435	c96565_g1_i2
Gcolumna_436	c96633_g1_i3
Gcolumna_437	c96578_g1_i1
Gcolumna_438	c95773_g1_i1
Gcolumna_439	c95773_g1_i2
Gcolumna_440	c95773_g1_i4
Gcolumna_441	c95773_g1_i5
Gcolumna_442	c96179_g1_i1
Gcolumna_443	c96179_g1_i2
Gcolumna_444	c96179_g1_i3
Gcolumna_445	c96179_g1_i6
Gcolumna_446	c96638_g2_i1
Gcolumna_447	c96638_g2_i2
Gcolumna_448	c96629_g1_i1
Gcolumna_449	c96629_g1_i2
Gcolumna_450	c96629_g1_i3
Gcolumna_451	c96224_g2_i1
Gcolumna_452	c96224_g1_i2
Gcolumna_453	c96721_g1_i1
Gcolumna_454	c96721_g1_i4
Gcolumna_455	c96067_g1_i2
Gcolumna_456	c95742_g1_i2
Gcolumna_457	c95742_g1_i3
Gcolumna_458	c95742_g1_i4
Gcolumna_459	c96513_g2_i1
Gcolumna_460	c96513_g2_i2
Gcolumna_461	c96078_g1_i1
Gcolumna_462	c96300_g1_i1
Gcolumna_463	c96300_g1_i2
Gcolumna_464	c95884_g1_i1
Gcolumna_465	c96186_g1_i1
Gcolumna_466	c96186_g1_i2
Gcolumna_467	c96340_g1_i1
Gcolumna_468	c96340_g1_i2
Gcolumna_469	c96340_g2_i1
Gcolumna_470	c96340_g2_i2
Gcolumna_471	c96241_g1_i1
Gcolumna_472	c96241_g1_i2
Gcolumna_473	c96241_g1_i5
Gcolumna_474	c96268_g1_i1
Gcolumna_475	c96568_g1_i2
Gcolumna_476	c96311_g1_i1
Gcolumna_477	c96252_g1_i1
Gcolumna_478	c96252_g1_i2
Gcolumna_479	c96279_g2_i1
Gcolumna_480	c96279_g4_i1
Gcolumna_481	c96223_g1_i1
Gcolumna_482	c96041_g1_i1
Gcolumna_483	c96041_g1_i2
Gcolumna_484	c96064_g1_i1
Gcolumna_485	c96595_g1_i1
Gcolumna_486	c96595_g1_i2
Gcolumna_487	c96595_g1_i3
Gcolumna_488	c96188_g1_i1
Gcolumna_489	c96690_g1_i1
Gcolumna_490	c96531_g1_i1
Gcolumna_491	c96303_g1_i2
Gcolumna_492	c96303_g1_i3
Gcolumna_493	c96670_g1_i2
Gcolumna_494	c96670_g1_i3
Gcolumna_495	c96670_g1_i4
Gcolumna_496	c96670_g1_i5
Gcolumna_497	c96180_g1_i1
Gcolumna_498	c96180_g1_i2
Gcolumna_499	c96180_g1_i3
Gcolumna_500	c96141_g1_i1
Gcolumna_501	c96141_g1_i2
Gcolumna_502	c96282_g1_i1
Gcolumna_503	c96282_g1_i3
Gcolumna_504	c96346_g1_i1
Gcolumna_505	c96378_g1_i1
Gcolumna_506	c96378_g1_i3
Gcolumna_507	c96240_g1_i4
Gcolumna_508	c96205_g1_i1
Gcolumna_509	c96205_g1_i2
Gcolumna_510	c96205_g1_i3
Gcolumna_511	c96205_g1_i4
Gcolumna_512	c96205_g1_i5
Gcolumna_513	c96147_g1_i1
Gcolumna_514	c96147_g1_i2
Gcolumna_515	c96147_g1_i3
Gcolumna_516	c96147_g1_i4
Gcolumna_517	c96147_g1_i5
Gcolumna_518	c96147_g1_i6
Gcolumna_519	c96222_g2_i1
Gcolumna_520	c96222_g2_i2
Gcolumna_521	c96222_g3_i2
Gcolumna_522	c96222_g3_i4
Gcolumna_523	c96222_g2_i3
Gcolumna_524	c96222_g3_i5
Gcolumna_525	c96111_g1_i1
Gcolumna_526	c96111_g2_i1
Gcolumna_527	c96111_g1_i2
Gcolumna_528	c96498_g2_i3
Gcolumna_529	c96195_g1_i1
Gcolumna_530	c96195_g2_i1
Gcolumna_531	c96587_g1_i1
Gcolumna_532	c96587_g1_i3
Gcolumna_533	c96220_g2_i1
Gcolumna_534	c96220_g1_i2
Gcolumna_535	c96348_g1_i1
Gcolumna_536	c96348_g1_i2
Gcolumna_537	c96348_g1_i3
Gcolumna_538	c96348_g2_i1
Gcolumna_539	c95819_g1_i1
Gcolumna_540	c96363_g1_i1
Gcolumna_541	c96293_g2_i1
Gcolumna_542	c96278_g1_i2
Gcolumna_543	c96278_g1_i3
Gcolumna_544	c96278_g1_i4
Gcolumna_545	c96503_g1_i2
Gcolumna_546	c96503_g1_i3
Gcolumna_547	c96503_g1_i4
Gcolumna_548	c96209_g1_i1
Gcolumna_549	c96209_g1_i2
Gcolumna_550	c96209_g1_i3
Gcolumna_551	c96209_g1_i5
Gcolumna_552	c96109_g1_i1
Gcolumna_553	c96109_g1_i2
Gcolumna_554	c96369_g3_i1
Gcolumna_555	c96369_g1_i3
Gcolumna_556	c96321_g1_i1
Gcolumna_557	c95883_g3_i1
Gcolumna_558	c95883_g3_i2
Gcolumna_559	c95883_g3_i4
