Spistillat_240	Spi_isotig00225
Spistillat_241	Spi_isotig00226
Spistillat_242	Spi_isotig00227
Spistillat_243	Spi_isotig00228
Spistillat_244	Spi_isotig00229
Spistillat_245	Spi_isotig00230
Spistillat_246	Spi_isotig00231
Spistillat_247	Spi_isotig00232
Spistillat_248	Spi_isotig00233
Spistillat_249	Spi_isotig00234
Spistillat_250	Spi_isotig00235
Spistillat_251	Spi_isotig00236
Spistillat_252	Spi_isotig00237
Spistillat_253	Spi_isotig00238
Spistillat_254	Spi_isotig00239
Spistillat_255	Spi_isotig00240
Spistillat_256	Spi_isotig00241
Spistillat_257	Spi_isotig00242
Spistillat_258	Spi_isotig00243
Spistillat_259	Spi_isotig00244
Spistillat_260	Spi_isotig00245
Spistillat_261	Spi_isotig00246
Spistillat_262	Spi_isotig00247
Spistillat_263	Spi_isotig00248
Spistillat_264	Spi_isotig00249
Spistillat_265	Spi_isotig00250
Spistillat_266	Spi_isotig00251
Spistillat_267	Spi_isotig00252
Spistillat_268	Spi_isotig00253
Spistillat_269	Spi_isotig00254
Spistillat_270	Spi_isotig00255
Spistillat_271	Spi_isotig00256
Spistillat_272	Spi_isotig00257
Spistillat_273	Spi_isotig00258
Spistillat_274	Spi_isotig00259
Spistillat_275	Spi_isotig00260
Spistillat_276	Spi_isotig00261
Spistillat_277	Spi_isotig00262
Spistillat_278	Spi_isotig00263
Spistillat_279	Spi_isotig00264
Spistillat_280	Spi_isotig00265
Spistillat_281	Spi_isotig00266
Spistillat_282	Spi_isotig00267
Spistillat_283	Spi_isotig00268
Spistillat_284	Spi_isotig00269
Spistillat_285	Spi_isotig00270
Spistillat_286	Spi_isotig00271
Spistillat_287	Spi_isotig00272
Spistillat_288	Spi_isotig00273
Spistillat_289	Spi_isotig00274
Spistillat_290	Spi_isotig00275
Spistillat_291	Spi_isotig00276
Spistillat_292	Spi_isotig00277
Spistillat_293	Spi_isotig00278
Spistillat_294	Spi_isotig00279
Spistillat_295	Spi_isotig00280
Spistillat_296	Spi_isotig00281
Spistillat_297	Spi_isotig00282
Spistillat_298	Spi_isotig00283
Spistillat_299	Spi_isotig00284
Spistillat_300	Spi_isotig00285
Spistillat_301	Spi_isotig00286
Spistillat_302	Spi_isotig00287
Spistillat_303	Spi_isotig00288
Spistillat_304	Spi_isotig00289
Spistillat_305	Spi_isotig00290
Spistillat_306	Spi_isotig00291
Spistillat_307	Spi_isotig00292
Spistillat_308	Spi_isotig00293
Spistillat_309	Spi_isotig00294
Spistillat_310	Spi_isotig00295
Spistillat_311	Spi_isotig00296
Spistillat_312	Spi_isotig00297
Spistillat_313	Spi_isotig00298
Spistillat_314	Spi_isotig00299
Spistillat_315	Spi_isotig00300
Spistillat_316	Spi_isotig00301
Spistillat_317	Spi_isotig00302
