Atenuis_308	G3MV2BB01A1KET
Atenuis_309	G3MV2BB01A1KF0
Atenuis_310	G3MV2BB01A1KFF
Atenuis_311	G3MV2BB01A1KOO
Atenuis_312	G3MV2BB01A1KOT
Atenuis_313	G3MV2BB01A1KVJ
Atenuis_314	G3MV2BB01A1L2R
Atenuis_315	G3MV2BB01A1LCK
Atenuis_316	G3MV2BB01A1LI5
Atenuis_317	G3MV2BB01A1LL3
Atenuis_318	G3MV2BB01A1LLE
Atenuis_319	G3MV2BB01A1LT4
Atenuis_320	G3MV2BB01A1LTB
Atenuis_321	G3MV2BB01A1LV8
Atenuis_322	G3MV2BB01A1LYQ
Atenuis_323	G3MV2BB01A1M3J
Atenuis_324	G3MV2BB01A1M5H
Atenuis_325	G3MV2BB01A1M5U
Atenuis_326	G3MV2BB01A1MA4
Atenuis_327	G3MV2BB01A1MHU
Atenuis_328	G3MV2BB01A1MNP
Atenuis_329	G3MV2BB01A1MPQ
Atenuis_330	G3MV2BB01A1MSR
Atenuis_331	G3MV2BB01A1MXE
Atenuis_332	G3MV2BB01A1ND9
Atenuis_333	G3MV2BB01A1NHA
Atenuis_334	G3MV2BB01A1NOH
Atenuis_335	G3MV2BB01A1O2N
Atenuis_336	G3MV2BB01A1OL4
Atenuis_337	G3MV2BB01A1OMD
Atenuis_338	G3MV2BB01A1OTQ
Atenuis_339	G3MV2BB01A1OW9
Atenuis_340	G3MV2BB01A1OYY
Atenuis_341	G3MV2BB01A1PF0
Atenuis_342	G3MV2BB01A1PG4
Atenuis_343	G3MV2BB01A1PKT
Atenuis_344	G3MV2BB01A1Q1V
Atenuis_345	G3MV2BB01A1Q7Y
Atenuis_346	G3MV2BB01A1QLI
Atenuis_347	G3MV2BB01A1QOH
Atenuis_348	G3MV2BB01A1QQW
Atenuis_349	G3MV2BB01A1R04
Atenuis_350	G3MV2BB01A1R28
Atenuis_351	G3MV2BB01A1R3H
Atenuis_352	G3MV2BB01A1R47
Atenuis_353	G3MV2BB01A1R55
Atenuis_354	G3MV2BB01A1RAG
Atenuis_355	G3MV2BB01A1RP3
Atenuis_356	G3MV2BB01A1RPZ
Atenuis_357	G3MV2BB01A1S0U
Atenuis_358	G3MV2BB01A1S41
Atenuis_359	G3MV2BB01A1S8Q
Atenuis_360	G3MV2BB01A1SA1
Atenuis_361	G3MV2BB01A1SA9
Atenuis_362	G3MV2BB01A1SBS
Atenuis_363	G3MV2BB01A1SLC
Atenuis_364	G3MV2BB01A1SLZ
Atenuis_365	G3MV2BB01A1SOO
Atenuis_366	G3MV2BB01A1STN
Atenuis_367	G3MV2BB01A1SZ4
Atenuis_368	G3MV2BB01A1T8T
Atenuis_369	G3MV2BB01A1TDG
Atenuis_370	G3MV2BB01A1TDY
Atenuis_371	G3MV2BB01A1TQL
Atenuis_372	G3MV2BB01A1TSG
Atenuis_373	G3MV2BB01A1TWU
Atenuis_374	G3MV2BB01A1TYY
Atenuis_375	G3MV2BB01A1U1Q
Atenuis_376	G3MV2BB01A1U1X
Atenuis_377	G3MV2BB01A1U2Z
Atenuis_378	G3MV2BB01A1U38
Atenuis_379	G3MV2BB01A1ULJ
Atenuis_380	G3MV2BB01A1URP
Atenuis_381	G3MV2BB01A1V0E
Atenuis_382	G3MV2BB01A1VF0
Atenuis_383	G3MV2BB01A1VIF
Atenuis_384	G3MV2BB01A1VLH
Atenuis_385	G3MV2BB01A1VPS
Atenuis_386	G3MV2BB01A1VSL
Atenuis_387	G3MV2BB01A1WAR
Atenuis_388	G3MV2BB01A1WF3
Atenuis_389	G3MV2BB01A1WGM
Atenuis_390	G3MV2BB01A1WX1
Atenuis_391	G3MV2BB01A1X4B
Atenuis_392	G3MV2BB01A1X5X
Atenuis_393	G3MV2BB01A1X64
Atenuis_394	G3MV2BB01A1XAA
Atenuis_395	G3MV2BB01A1XJO
Atenuis_396	G3MV2BB01A1XKN
Atenuis_397	G3MV2BB01A1XNC
Atenuis_398	G3MV2BB01A1XOM
Atenuis_399	G3MV2BB01A1XQM
Atenuis_400	G3MV2BB01A1YHH
Atenuis_401	G3MV2BB01A1YQY
Atenuis_402	G3MV2BB01A1YZQ
Atenuis_403	G3MV2BB01A1Z17
Atenuis_404	G3MV2BB01A1Z5V
Atenuis_405	G3MV2BB01A1ZCO
Atenuis_406	G3MV2BB01A1ZGM
Atenuis_407	G3MV2BB01A1ZH0
Atenuis_408	G3MV2BB01A1ZRV
Atenuis_409	G3MV2BB01A1ZTC
Atenuis_410	G3MV2BB01A1ZVB
Atenuis_411	G3MV2BB01A200R
Atenuis_412	G3MV2BB01A201R
Atenuis_413	G3MV2BB01A201Y
Atenuis_414	G3MV2BB01A20HO
Atenuis_415	G3MV2BB01A20L8
Atenuis_416	G3MV2BB01A20NZ
Atenuis_417	G3MV2BB01A20YE
Atenuis_418	G3MV2BB01A212W
Atenuis_419	G3MV2BB01A213N
Atenuis_420	G3MV2BB01A216Y
Atenuis_421	G3MV2BB01A2193
Atenuis_422	G3MV2BB01A21D5
Atenuis_423	G3MV2BB01A21MC
Atenuis_424	G3MV2BB01A21MR
Atenuis_425	G3MV2BB01A21P5
Atenuis_426	G3MV2BB01A21S8
Atenuis_427	G3MV2BB01A2241
Atenuis_428	G3MV2BB01A226V
Atenuis_429	G3MV2BB01A22AI
Atenuis_430	G3MV2BB01A22DG
Atenuis_431	G3MV2BB01A22KE
Atenuis_432	G3MV2BB01A238D
Atenuis_433	G3MV2BB01A23CH
Atenuis_434	G3MV2BB01A23CN
Atenuis_435	G3MV2BB01A23D5
Atenuis_436	G3MV2BB01A23DI
Atenuis_437	G3MV2BB01A23OP
Atenuis_438	G3MV2BB01A23Q6
Atenuis_439	G3MV2BB01A24CO
Atenuis_440	G3MV2BB01A24DQ
Atenuis_441	G3MV2BB01A24EY
Atenuis_442	G3MV2BB01A24FA
Atenuis_443	G3MV2BB01A24M5
Atenuis_444	G3MV2BB01A24OP
Atenuis_445	G3MV2BB01A24YL
Atenuis_446	G3MV2BB01A254R
Atenuis_447	G3MV2BB01A25J9
Atenuis_448	G3MV2BB01A25NS
Atenuis_449	G3MV2BB01A25S2
Atenuis_450	G3MV2BB01A25XE
Atenuis_451	G3MV2BB01A260K
Atenuis_452	G3MV2BB01A26E1
Atenuis_453	G3MV2BB01A26KB
Atenuis_454	G3MV2BB01A26YG
Atenuis_455	G3MV2BB01A27L0
Atenuis_456	G3MV2BB01A27TR
Atenuis_457	G3MV2BB01A2845
Atenuis_458	G3MV2BB01A28EK
Atenuis_459	G3MV2BB01A28LM
Atenuis_460	G3MV2BB01A28P3
Atenuis_461	G3MV2BB01A28QQ
Atenuis_462	G3MV2BB01A294X
Atenuis_463	G3MV2BB01A2A0E
Atenuis_464	G3MV2BB01A2A2J
Atenuis_465	G3MV2BB01A2AAV
Atenuis_466	G3MV2BB01A2ASJ
Atenuis_467	G3MV2BB01A2BDG
Atenuis_468	G3MV2BB01A2BFO
Atenuis_469	G3MV2BB01A2BMZ
Atenuis_470	G3MV2BB01A2C31
Atenuis_471	G3MV2BB01A2CGI
Atenuis_472	G3MV2BB01A2CW3
Atenuis_473	G3MV2BB01A2D4N
Atenuis_474	G3MV2BB01A2D97
Atenuis_475	G3MV2BB01A2D9T
Atenuis_476	G3MV2BB01A2DH1
Atenuis_477	G3MV2BB01A2DO0
Atenuis_478	G3MV2BB01A2DY5
Atenuis_479	G3MV2BB01A2E7E
Atenuis_480	G3MV2BB01A2E7G
Atenuis_481	G3MV2BB01A2EIN
Atenuis_482	G3MV2BB01A2EUS
Atenuis_483	G3MV2BB01A2EX6
Atenuis_484	G3MV2BB01A2EYC
Atenuis_485	G3MV2BB01A2F5B
Atenuis_486	G3MV2BB01A2F5G
Atenuis_487	G3MV2BB01A2F9U
Atenuis_488	G3MV2BB01A2FBY
Atenuis_489	G3MV2BB01A2FEF
Atenuis_490	G3MV2BB01A2FVZ
Atenuis_491	G3MV2BB01A2FZP
Atenuis_492	G3MV2BB01A2G1U
Atenuis_493	G3MV2BB01A2G46
Atenuis_494	G3MV2BB01A2G77
Atenuis_495	G3MV2BB01A2G9D
Atenuis_496	G3MV2BB01A2GBS
Atenuis_497	G3MV2BB01A2GDO
Atenuis_498	G3MV2BB01A2GFB
Atenuis_499	G3MV2BB01A2GXC
Atenuis_500	G3MV2BB01A2HB4
Atenuis_501	G3MV2BB01A2HM2
Atenuis_502	G3MV2BB01A2HN9
Atenuis_503	G3MV2BB01A2HQC
Atenuis_504	G3MV2BB01A2HTA
Atenuis_505	G3MV2BB01A2HYI
Atenuis_506	G3MV2BB01A2I2Z
Atenuis_507	G3MV2BB01A2I8Q
Atenuis_508	G3MV2BB01A2IAI
Atenuis_509	G3MV2BB01A2IJ1
Atenuis_510	G3MV2BB01A2IKV
Atenuis_511	G3MV2BB01A2IUR
Atenuis_512	G3MV2BB01A2IXR
Atenuis_513	G3MV2BB01A2JAJ
Atenuis_514	G3MV2BB01A2JOP
Atenuis_515	G3MV2BB01A2K5E
Atenuis_516	G3MV2BB01A2K95
Atenuis_517	G3MV2BB01A2KG5
Atenuis_518	G3MV2BB01A2KOQ
Atenuis_519	G3MV2BB01A2KX8
Atenuis_520	G3MV2BB01A2L61
Atenuis_521	G3MV2BB01A2L9F
Atenuis_522	G3MV2BB01A2LFR
Atenuis_523	G3MV2BB01A2LTU
Atenuis_524	G3MV2BB01A2LVW
Atenuis_525	G3MV2BB01A2LZ3
Atenuis_526	G3MV2BB01A2MOD
Atenuis_527	G3MV2BB01A2NFN
Atenuis_528	G3MV2BB01A2NQQ
Atenuis_529	G3MV2BB01A2NYB
Atenuis_530	G3MV2BB01A2OFA
Atenuis_531	G3MV2BB01A2OOS
Atenuis_532	G3MV2BB01A2OQF
Atenuis_533	G3MV2BB01A2OUB
Atenuis_534	G3MV2BB01A2OWN
Atenuis_535	G3MV2BB01A2P0H
Atenuis_536	G3MV2BB01A2PAM
Atenuis_537	G3MV2BB01A2PCI
Atenuis_538	G3MV2BB01A2PDI
Atenuis_539	G3MV2BB01A2PK7
Atenuis_540	G3MV2BB01A2PKL
Atenuis_541	G3MV2BB01A2Q1N
Atenuis_542	G3MV2BB01A2Q7T
Atenuis_543	G3MV2BB01A2QI3
Atenuis_544	G3MV2BB01A2QQ1
Atenuis_545	G3MV2BB01A2QRA
Atenuis_546	G3MV2BB01A2QWG
Atenuis_547	G3MV2BB01A2RIW
Atenuis_548	G3MV2BB01A2RJ6
Atenuis_549	G3MV2BB01A2RLC
Atenuis_550	G3MV2BB01A2RWL
Atenuis_551	G3MV2BB01A2RXC
Atenuis_552	G3MV2BB01A2S35
Atenuis_553	G3MV2BB01A2S56
Atenuis_554	G3MV2BB01A2STN
Atenuis_555	G3MV2BB01A2SWB
Atenuis_556	G3MV2BB01A2SXC
Atenuis_557	G3MV2BB01A2T2Y
Atenuis_558	G3MV2BB01A2TJD
Atenuis_559	G3MV2BB01A2TNL
Atenuis_560	G3MV2BB01A2TPZ
Atenuis_561	G3MV2BB01A2TUF
Atenuis_562	G3MV2BB01A2U8E
Atenuis_563	G3MV2BB01A2UAC
Atenuis_564	G3MV2BB01A2UCL
Atenuis_565	G3MV2BB01A2UN7
Atenuis_566	G3MV2BB01A2UND
Atenuis_567	G3MV2BB01A2UQ2
Atenuis_568	G3MV2BB01A2UWK
Atenuis_569	G3MV2BB01A2UY1
Atenuis_570	G3MV2BB01A2VA1
Atenuis_571	G3MV2BB01A2VD0
Atenuis_572	G3MV2BB01A2VJF
Atenuis_573	G3MV2BB01A2VKL
Atenuis_574	G3MV2BB01A2VMQ
Atenuis_575	G3MV2BB01A2VNK
Atenuis_576	G3MV2BB01A2VS8
Atenuis_577	G3MV2BB01A2W12
Atenuis_578	G3MV2BB01A2W2W
Atenuis_579	G3MV2BB01A2W9D
Atenuis_580	G3MV2BB01A2WMW
Atenuis_581	G3MV2BB01A2WUF
Atenuis_582	G3MV2BB01A2WUJ
Atenuis_583	G3MV2BB01A2WXW
Atenuis_584	G3MV2BB01A2WYA
Atenuis_585	G3MV2BB01A2XJG
Atenuis_586	G3MV2BB01A2XKC
Atenuis_587	G3MV2BB01A2XN8
Atenuis_588	G3MV2BB01A2YCA
Atenuis_589	G3MV2BB01A2YZO
Atenuis_590	G3MV2BB01A2Z2O
Atenuis_591	G3MV2BB01A2Z9V
Atenuis_592	G3MV2BB01A2ZHC
Atenuis_593	G3MV2BB01A2ZZO
Atenuis_594	G3MV2BB01A309F
Atenuis_595	G3MV2BB01A30AG
Atenuis_596	G3MV2BB01A30EP
Atenuis_597	G3MV2BB01A30GN
Atenuis_598	G3MV2BB01A30LV
Atenuis_599	G3MV2BB01A30VL
Atenuis_600	G3MV2BB01A311N
Atenuis_601	G3MV2BB01A31B0
Atenuis_602	G3MV2BB01A31B3
Atenuis_603	G3MV2BB01A31IB
Atenuis_604	G3MV2BB01A31ZG
Atenuis_605	G3MV2BB01A320W
Atenuis_606	G3MV2BB01A32O7
Atenuis_607	G3MV2BB01A32XV
Atenuis_608	G3MV2BB01A330Y
Atenuis_609	G3MV2BB01A33CR
Atenuis_610	G3MV2BB01A33FV
Atenuis_611	G3MV2BB01A33HR
Atenuis_612	G3MV2BB01A33YZ
Atenuis_613	G3MV2BB01A342A
Atenuis_614	G3MV2BB01A350Z
Atenuis_615	G3MV2BB01A3528
Atenuis_616	G3MV2BB01A356E
Atenuis_617	G3MV2BB01A35WX
Atenuis_618	G3MV2BB01A361S
Atenuis_619	G3MV2BB01A36BV
Atenuis_620	G3MV2BB01A36FI
Atenuis_621	G3MV2BB01A36M3
Atenuis_622	G3MV2BB01A36VJ
Atenuis_623	G3MV2BB01A3738
Atenuis_624	G3MV2BB01A379E
Atenuis_625	G3MV2BB01A37QH
Atenuis_626	G3MV2BB01A384V
Atenuis_627	G3MV2BB01A38AA
Atenuis_628	G3MV2BB01A38HG
Atenuis_629	G3MV2BB01A38HV
Atenuis_630	G3MV2BB01A38RB
Atenuis_631	G3MV2BB01A38YM
Atenuis_632	G3MV2BB01A39AN
Atenuis_633	G3MV2BB01A39PL
Atenuis_634	G3MV2BB01A39WG
Atenuis_635	G3MV2BB01A3A4N
Atenuis_636	G3MV2BB01A3AJX
Atenuis_637	G3MV2BB01A3AK3
Atenuis_638	G3MV2BB01A3AMB
Atenuis_639	G3MV2BB01A3B1W
Atenuis_640	G3MV2BB01A3B58
Atenuis_641	G3MV2BB01A3B62
Atenuis_642	G3MV2BB01A3BF9
Atenuis_643	G3MV2BB01A3BLE
