Apalmata_243	AOKG1696_g2_c
Apalmata_244	AOKG1704_g2_c
Apalmata_245	AOKG1723_g2_c
Apalmata_246	AOKG1730_b2_c
Apalmata_247	AOKG1732_b2_c
Apalmata_248	AOKG1744_b2_c
Apalmata_249	AOKG1745_g2_c
Apalmata_250	AOKG1747_b2_c
Apalmata_251	AOKG1767_g2_c
Apalmata_252	AOKG1768_b2_c
Apalmata_253	AOKG1807_g2_c
Apalmata_254	AOKG1814_g2_c
Apalmata_255	AOKG1840_b2_c
Apalmata_256	AOKG1864_g2_c
Apalmata_257	AOKG1875_g2_c
Apalmata_258	AOKG1935_g2_c
Apalmata_259	AOKG1943_g2_c
Apalmata_260	AOKG1964_b2_c
Apalmata_261	AOKG1964_g2_c
Apalmata_262	AOKG1982_g2_c
Apalmata_263	AOKG1991_g2_c
Apalmata_264	AOKG1992_g2_c
Apalmata_265	AOKG1994_g2_c
Apalmata_266	AOKG2007_g2_c
Apalmata_267	AOKG2025_b2_c
Apalmata_268	AOKG2029_b2_c
Apalmata_269	AOKG2058_g2_c
Apalmata_270	AOKG2084_g2_c
Apalmata_271	AOKG2095_g2_c
Apalmata_272	AOKG2101_b2_c
Apalmata_273	AOKG2105_b2_c
Apalmata_274	AOKG2105_g2_c
Apalmata_275	AOKG2111_g2_c
Apalmata_276	AOKG2138_b2_c
Apalmata_277	AOKG2172_g2_c
Apalmata_278	AOKG2173_g2_c
Apalmata_279	AOKG2193_g2_c
Apalmata_280	AOKG2214_g2_c
Apalmata_281	AOKG390_b2_c
Apalmata_282	AOKG410_b2_c
Apalmata_283	AOKG410_g2_c
Apalmata_284	AOKG417_g2_c
Apalmata_285	AOKG422_b2_c
Apalmata_286	AOKG429_g2_c
Apalmata_287	AOKG431_b2_c
Apalmata_288	AOKG442_g2_c
Apalmata_289	AOKG453_b2_c
Apalmata_290	AOKG454_g2_c
Apalmata_291	AOKG476_g2_c
Apalmata_292	AOKG484_g2_c
Apalmata_293	AOKG485_g2_c
Apalmata_294	AOKG488_b2_c
Apalmata_295	AOKG500_b2_c
Apalmata_296	AOKG553_b2_c
Apalmata_297	AOKG554_b2_c
Apalmata_298	AOKG557_g2_c
Apalmata_299	AOKG559_g2_c
Apalmata_300	AOKG573_g2_c
Apalmata_301	AOKG634_b2_c
Apalmata_302	AOKG636_g2_c
Apalmata_303	AOKG649_g2_c
Apalmata_304	AOKG655_g2_c
Apalmata_305	AOKG681_g2_c
Apalmata_306	AOKG708_g2_c
Apalmata_307	AOKG714_b2_c
Apalmata_308	AOKG732_b2_c
Apalmata_309	AOKG732_g2_c
Apalmata_310	AOKG756_g2_c
Apalmata_311	AOKG766_g2_c
Apalmata_312	CAFB1153_g2_c
Apalmata_313	CAFB1156_b2_c
Apalmata_314	CAFB1168_b2_c
Apalmata_315	CAFB1171_b2_c
Apalmata_316	CAFB1174_b2_c
Apalmata_317	CAFB1174_g2_c
Apalmata_318	CAFB1183_b2_c
Apalmata_319	CAFB1184_g2_c
Apalmata_320	CAFB1186_b2_c
Apalmata_321	CAFB1190_b2_c
Apalmata_322	CAFB1190_g2_c
Apalmata_323	CAFB1195_b2_c
Apalmata_324	CAFB1195_g2_c
Apalmata_325	CAFB1198_b2_c
Apalmata_326	CAFB1203_g2_c
Apalmata_327	CAFB1204_b2_c
Apalmata_328	CAFB1204_g2_c
Apalmata_329	CAFB1205_b2_c
Apalmata_330	CAFB1208_g2_c
Apalmata_331	CAFB1209_b2_c
Apalmata_332	CAFB1215_b2_c
Apalmata_333	CAFB1226_g2_c
Apalmata_334	CAFB1231_b2_c
Apalmata_335	CAFB1238_b2_c
Apalmata_336	CAFB1246_b2_c
Apalmata_337	CAFB1246_g2_c
Apalmata_338	CAFB1253_b2_c
Apalmata_339	CAFB1254_b2_c
Apalmata_340	CAFB1255_b2_c
Apalmata_341	CAFB1257_b2_c
Apalmata_342	CAFB1258_b2_c
Apalmata_343	CAFB1263_b2_c
Apalmata_344	CAFB1265_b2_c
Apalmata_345	CAFB1267_b2_c
Apalmata_346	CAFB1267_g2_c
Apalmata_347	CAFB1268_b2_c
Apalmata_348	CAFB1271_b2_c
Apalmata_349	CAFB1272_b2_c
