Pastreoide_380	GCKDGN101CFFAS
Pastreoide_381	GCKDGN101A0ABX
Pastreoide_382	GCKDGN101BDIA5
Pastreoide_383	GCKDGN101ASDWL
Pastreoide_384	GCKDGN102D2QMY
Pastreoide_385	GCKDGN101AUSZM
Pastreoide_386	GCKDGN101ASTI2
Pastreoide_387	GCKDGN101BXR80
Pastreoide_388	GCKDGN102C7396
Pastreoide_389	GCKDGN101BGYSG
Pastreoide_390	GCKDGN101BRZL2
Pastreoide_391	GCKDGN101A2TT4
Pastreoide_392	GCKDGN101B86J7
Pastreoide_393	GCKDGN102C9IU1
Pastreoide_394	GCKDGN101A9PZD
Pastreoide_395	GCKDGN101BUFVH
Pastreoide_396	GCKDGN101BCRHD
Pastreoide_397	GCKDGN101BOWOS
Pastreoide_398	GCKDGN101APUXQ
Pastreoide_399	GCKDGN101B7J9U
Pastreoide_400	GCKDGN101B36BJ
Pastreoide_401	GCKDGN102D2BUD
Pastreoide_402	GCKDGN102C4O9S
Pastreoide_403	GCKDGN101BN4C2
Pastreoide_404	GCKDGN101A12VJ
Pastreoide_405	GCKDGN102C3TO9
Pastreoide_406	GCKDGN101B5QIA
Pastreoide_407	GCKDGN101B3Y5R
Pastreoide_408	GCKDGN101B6E85
Pastreoide_409	GCKDGN101B7BVV
Pastreoide_410	GCKDGN101AO3CC
Pastreoide_411	GCKDGN101ATF34
Pastreoide_412	GCKDGN101A33CU
Pastreoide_413	GCKDGN101BNGOS
Pastreoide_414	GCKDGN102C26XM
Pastreoide_415	GCKDGN101CERU3
Pastreoide_416	GCKDGN101B81Z4
Pastreoide_417	GCKDGN102C5O2W
Pastreoide_418	GCKDGN101CJE44
Pastreoide_419	GCKDGN102D12E2
Pastreoide_420	GCKDGN101BJ3S7
Pastreoide_421	GCKDGN101CBWOL
Pastreoide_422	GCKDGN101CB0BT
Pastreoide_423	GCKDGN101BHQ2X
Pastreoide_424	GCKDGN101A97IE
Pastreoide_425	GCKDGN101CHYHN
Pastreoide_426	GCKDGN101A8W2V
Pastreoide_427	GCKDGN101A5WAE
Pastreoide_428	GCKDGN101CA881
Pastreoide_429	GCKDGN101CCC1J
Pastreoide_430	GCKDGN101A4JC9
Pastreoide_431	GCKDGN101BZVL3
Pastreoide_432	GCKDGN101AO27G
Pastreoide_433	GCKDGN102D4G8J
Pastreoide_434	GCKDGN101CJEAD
Pastreoide_435	GCKDGN101BLQYE
Pastreoide_436	GCKDGN101BVTEB
Pastreoide_437	GCKDGN101BMH6T
Pastreoide_438	GCKDGN102D3JV0
Pastreoide_439	GCKDGN101A5ZFE
Pastreoide_440	GCKDGN101BEZET
Pastreoide_441	GCKDGN101AK5X7
Pastreoide_442	GCKDGN101BHOLU
Pastreoide_443	GCKDGN101AP7HI
Pastreoide_444	GCKDGN101AN36E
Pastreoide_445	GCKDGN101B0C3S
Pastreoide_446	GCKDGN102D5DA6
Pastreoide_447	GCKDGN101BTRZJ
Pastreoide_448	GCKDGN101BFTAU
Pastreoide_449	GCKDGN101AVP4K
Pastreoide_450	GCKDGN101AMOD0
Pastreoide_451	GCKDGN101ASRUK
Pastreoide_452	GCKDGN101B60AF
Pastreoide_453	GCKDGN101B2YXC
Pastreoide_454	GCKDGN101ASOQ1
Pastreoide_455	GCKDGN101BEFNF
Pastreoide_456	GCKDGN101BBLW2
Pastreoide_457	GCKDGN101A9IK2
Pastreoide_458	GCKDGN101BNZH6
Pastreoide_459	GCKDGN101ANPG0
Pastreoide_460	GCKDGN101B2BZB
Pastreoide_461	GCKDGN101B1100
Pastreoide_462	GCKDGN101AV6CQ
Pastreoide_463	GCKDGN101ALVTS
Pastreoide_464	GCKDGN102C29SY
Pastreoide_465	GCKDGN101BMYP6
Pastreoide_466	GCKDGN101BMDHD
Pastreoide_467	GCKDGN101A00ZL
Pastreoide_468	GCKDGN101A4VKU
Pastreoide_469	GCKDGN101AOVUV
Pastreoide_470	GCKDGN101CD9F5
Pastreoide_471	GCKDGN101BXW8B
Pastreoide_472	GCKDGN101B5YBR
Pastreoide_473	GCKDGN101BNIHT
Pastreoide_474	GCKDGN102C6RXO
Pastreoide_475	GCKDGN101AXVCI
Pastreoide_476	GCKDGN101BB9P4
Pastreoide_477	GCKDGN102C6WN1
Pastreoide_478	GCKDGN101BNAY2
Pastreoide_479	GCKDGN102C6R1M
Pastreoide_480	GCKDGN101BRKVF
Pastreoide_481	GCKDGN102D3N2A
Pastreoide_482	GCKDGN101AUC3T
Pastreoide_483	GCKDGN101CIQV2
Pastreoide_484	GCKDGN101BJZ6S
Pastreoide_485	GCKDGN101A39U8
Pastreoide_486	GCKDGN101BPHND
Pastreoide_487	GCKDGN101BKDXG
Pastreoide_488	GCKDGN102D3IFQ
Pastreoide_489	GCKDGN101CE6FT
Pastreoide_490	GCKDGN101BW7KU
Pastreoide_491	GCKDGN102C2RDG
Pastreoide_492	GCKDGN102C7EB2
Pastreoide_493	GCKDGN101B6V64
Pastreoide_494	GCKDGN102C83NF
Pastreoide_495	GCKDGN101CGLP6
Pastreoide_496	GCKDGN101BOL4C
Pastreoide_497	GCKDGN101BWFYE
Pastreoide_498	GCKDGN101A6W27
Pastreoide_499	GCKDGN101AU62R
Pastreoide_500	GCKDGN101CFE4W
Pastreoide_501	GCKDGN101AQZR8
Pastreoide_502	GCKDGN101AQGHO
Pastreoide_503	GCKDGN101B8OGG
Pastreoide_504	GCKDGN101AKPEJ
Pastreoide_505	GCKDGN102D0Q0R
Pastreoide_506	GCKDGN101B5E39
Pastreoide_507	GCKDGN101B9PTB
Pastreoide_508	GCKDGN101ASLBI
Pastreoide_509	GCKDGN102C2UOB
Pastreoide_510	GCKDGN101ARGWV
Pastreoide_511	GCKDGN101BJ5L5
Pastreoide_512	GCKDGN101CKU0C
Pastreoide_513	GCKDGN101BPC1Y
Pastreoide_514	GCKDGN102D4WIU
Pastreoide_515	GCKDGN101AXAMK
Pastreoide_516	GCKDGN101BXWVZ
Pastreoide_517	GCKDGN101AMPJY
Pastreoide_518	GCKDGN102D1C4V
Pastreoide_519	GCKDGN101A32G8
Pastreoide_520	GCKDGN102D36UA
Pastreoide_521	GCKDGN101BQU7Z
Pastreoide_522	GCKDGN101AZSKI
Pastreoide_523	GCKDGN101BOYXZ
Pastreoide_524	GCKDGN101AX25S
Pastreoide_525	GCKDGN101ASKG9
Pastreoide_526	GCKDGN101ARBXP
Pastreoide_527	GCKDGN101CHXQM
Pastreoide_528	GCKDGN101A7L4B
Pastreoide_529	GCKDGN102D3NE8
Pastreoide_530	GCKDGN101ANN8N
Pastreoide_531	GCKDGN101B2KDQ
Pastreoide_532	GCKDGN101A0LCS
Pastreoide_533	GCKDGN101AR4ZA
Pastreoide_534	GCKDGN102C2RS5
Pastreoide_535	GCKDGN101AU63W
Pastreoide_536	GCKDGN101A3LGC
Pastreoide_537	GCKDGN101AZVFD
Pastreoide_538	GCKDGN101BCVTW
Pastreoide_539	GCKDGN101A7W15
Pastreoide_540	GCKDGN101BTS2R
Pastreoide_541	GCKDGN101CE7P6
Pastreoide_542	GCKDGN101BSLW5
Pastreoide_543	GCKDGN101ALDLL
