Amillepora_615	c037598
Amillepora_616	c000693p
Amillepora_617	c037591
Amillepora_618	c037593
Amillepora_619	c037595
Amillepora_620	c037597
Amillepora_621	c004967
Amillepora_622	c004964
Amillepora_623	c004962
Amillepora_624	c004960
Amillepora_625	c004968
Amillepora_626	c041639
Amillepora_627	c041635
Amillepora_628	c041637
Amillepora_629	c041631
Amillepora_630	c041633
Amillepora_631	c000044
Amillepora_632	c015414
Amillepora_633	c044446
Amillepora_634	c010547p
Amillepora_635	c023108
Amillepora_636	c023109
Amillepora_637	c031694
Amillepora_638	c031691
Amillepora_639	c031692
Amillepora_640	c028520
Amillepora_641	c031699
Amillepora_642	c028526
Amillepora_643	c051113
Amillepora_644	c023105
Amillepora_645	c054372
Amillepora_646	c054370
Amillepora_647	c054376
Amillepora_648	c054374
Amillepora_649	c054379
Amillepora_650	c054962
Amillepora_651	c035999
Amillepora_652	c054960
Amillepora_653	c031563
Amillepora_654	c031561
Amillepora_655	c039759
Amillepora_656	c031564
Amillepora_657	c013795m
Amillepora_658	c039757
Amillepora_659	c039751
Amillepora_660	c017370
Amillepora_661	c035449
Amillepora_662	c035445
Amillepora_663	c035447
Amillepora_664	c035441
Amillepora_665	c035443
Amillepora_666	c051588
Amillepora_667	c054969
Amillepora_668	c015727
Amillepora_669	c021598
Amillepora_670	c034110
Amillepora_671	c034112
Amillepora_672	c034114
Amillepora_673	c034116
Amillepora_674	c034118
Amillepora_675	c029659
Amillepora_676	c029651
Amillepora_677	c029653
Amillepora_678	c029655
Amillepora_679	c029657
Amillepora_680	c015583
Amillepora_681	c035499
Amillepora_682	c040333
Amillepora_683	c040331
Amillepora_684	c040336
Amillepora_685	c015728
Amillepora_686	c027388
Amillepora_687	c038009
Amillepora_688	c038007
Amillepora_689	c050202
Amillepora_690	c038002
Amillepora_691	c038000
Amillepora_692	c025690
Amillepora_693	c004797
Amillepora_694	c015035
Amillepora_695	c026969
Amillepora_696	c027380
Amillepora_697	c026962
Amillepora_698	c026960
Amillepora_699	c026966
Amillepora_700	c026964
Amillepora_701	c036048
Amillepora_702	c033465
Amillepora_703	c016542
Amillepora_704	c033469
Amillepora_705	c002424
Amillepora_706	c002426
Amillepora_707	c006558
Amillepora_708	c044314
Amillepora_709	c006552
Amillepora_710	c006555
Amillepora_711	c006557
Amillepora_712	c034802
Amillepora_713	c034800
Amillepora_714	c034806
Amillepora_715	c034804
Amillepora_716	c034808
Amillepora_717	c036043
Amillepora_718	c036042
Amillepora_719	c051295
Amillepora_720	c022609
Amillepora_721	c022607
Amillepora_722	c022605
Amillepora_723	c022603
Amillepora_724	c022601
Amillepora_725	c026388
Amillepora_726	c026386
Amillepora_727	c026384
Amillepora_728	c026382
Amillepora_729	c026380
Amillepora_730	c051293
Amillepora_731	c037010
Amillepora_732	c029853
Amillepora_733	c038539
Amillepora_734	c037013
Amillepora_735	c032408
Amillepora_736	c015175
Amillepora_737	c032403
Amillepora_738	c032405
Amillepora_739	c032407
Amillepora_740	c037012
Amillepora_741	c051290
Amillepora_742	c015172
Amillepora_743	c003537
Amillepora_744	c015173
Amillepora_745	c037014
Amillepora_746	c049905
Amillepora_747	c049903
Amillepora_748	c049901
Amillepora_749	c049909
Amillepora_750	c020193
Amillepora_751	c037017
Amillepora_752	c003943p
Amillepora_753	c050660
Amillepora_754	c050662
Amillepora_755	c050664
Amillepora_756	c050666
Amillepora_757	c050668
Amillepora_758	c027765
Amillepora_759	c037016
Amillepora_760	c027761
Amillepora_761	c031979
Amillepora_762	c031971
Amillepora_763	c031973
Amillepora_764	c031975
Amillepora_765	c031977
Amillepora_766	c021725
Amillepora_767	c021727
Amillepora_768	c042339
Amillepora_769	c021723
Amillepora_770	c021729
Amillepora_771	c027895
Amillepora_772	c027897
Amillepora_773	c027891
Amillepora_774	c027893
Amillepora_775	c027899
Amillepora_776	c038281
Amillepora_777	c009212
Amillepora_778	c036592
Amillepora_779	c009217
Amillepora_780	c009215
Amillepora_781	c036590
Amillepora_782	c021493
Amillepora_783	c021491
Amillepora_784	c021497
Amillepora_785	c036595
Amillepora_786	c021499
Amillepora_787	c014834
Amillepora_788	c014836
Amillepora_789	c014830
Amillepora_790	c014832
Amillepora_791	c025056
Amillepora_792	c014839
Amillepora_793	c053310
Amillepora_794	c053312
Amillepora_795	c053315
Amillepora_796	c053317
Amillepora_797	c053319
Amillepora_798	c005048
Amillepora_799	c046622
Amillepora_800	c048746
Amillepora_801	c046626
Amillepora_802	c046624
Amillepora_803	c046628
Amillepora_804	c042712
Amillepora_805	c042710
Amillepora_806	c000034m
Amillepora_807	c042714
Amillepora_808	c042718
Amillepora_809	c046852
Amillepora_810	c015231
Amillepora_811	c041316
Amillepora_812	c019374
Amillepora_813	c019375
Amillepora_814	c048103
Amillepora_815	c019370
Amillepora_816	c047578
Amillepora_817	c047574
Amillepora_818	c047576
Amillepora_819	c047570
Amillepora_820	c047572
Amillepora_821	c043448
Amillepora_822	c043444
Amillepora_823	c043446
Amillepora_824	c043440
Amillepora_825	c043442
Amillepora_826	c044505
Amillepora_827	c049670
Amillepora_828	c001927m
Amillepora_829	c001927p
Amillepora_830	c018024
Amillepora_831	c043193
Amillepora_832	c043191
Amillepora_833	c043197
Amillepora_834	c043195
Amillepora_835	c041468
Amillepora_836	c049676
Amillepora_837	c018020
Amillepora_838	c041465
Amillepora_839	c041923
Amillepora_840	c041924
Amillepora_841	c041926
Amillepora_842	c046690
Amillepora_843	c044089
Amillepora_844	c044085
Amillepora_845	c044087
Amillepora_846	c044081
Amillepora_847	c046697
Amillepora_848	c045938
Amillepora_849	c040843
Amillepora_850	c045931
Amillepora_851	c045937
Amillepora_852	c045935
Amillepora_853	c001985p
Amillepora_854	c011256
Amillepora_855	c002658m
Amillepora_856	c017912
Amillepora_857	c011250
Amillepora_858	c014018
Amillepora_859	c007992m
Amillepora_860	c014012
Amillepora_861	c014010
Amillepora_862	c014017
Amillepora_863	c014015
Amillepora_864	c010709
Amillepora_865	c054178
Amillepora_866	c054174
Amillepora_867	c054176
Amillepora_868	c054170
Amillepora_869	c054172
Amillepora_870	c001370m
Amillepora_871	c001370p
Amillepora_872	c051279
Amillepora_873	c035208
Amillepora_874	c051270
Amillepora_875	c051272
Amillepora_876	c051274
Amillepora_877	c051276
Amillepora_878	c051141
Amillepora_879	c037914
Amillepora_880	c037916
Amillepora_881	c037910
Amillepora_882	c037912
Amillepora_883	c037919
Amillepora_884	c045064
Amillepora_885	c045066
Amillepora_886	c045060
Amillepora_887	c045062
Amillepora_888	c001221
Amillepora_889	c045068
Amillepora_890	c016351
Amillepora_891	c016350
Amillepora_892	c042956
Amillepora_893	c003313
Amillepora_894	c042957
Amillepora_895	c003318
Amillepora_896	c005234p
Amillepora_897	c054829
Amillepora_898	c054827
Amillepora_899	c054825
Amillepora_900	c054823
Amillepora_901	c054821
Amillepora_902	c037383
Amillepora_903	c015829
Amillepora_904	c015824
Amillepora_905	c015826
Amillepora_906	c015820
Amillepora_907	c015822
Amillepora_908	c050108
Amillepora_909	c037384
Amillepora_910	c050100
Amillepora_911	c050102
Amillepora_912	c050104
Amillepora_913	c050106
Amillepora_914	c026939
Amillepora_915	c012414
Amillepora_916	c012416
Amillepora_917	c037882
Amillepora_918	c012413
Amillepora_919	c012418
Amillepora_920	c037880
Amillepora_921	c037881
Amillepora_922	c041317
Amillepora_923	c006799
Amillepora_924	c006793
Amillepora_925	c006791
Amillepora_926	c006797
Amillepora_927	c006795
Amillepora_928	c053361
Amillepora_929	c029261
Amillepora_930	c029263
Amillepora_931	c029265
Amillepora_932	c029267
Amillepora_933	c029269
Amillepora_934	c028033
Amillepora_935	c012225m
Amillepora_936	c038360
Amillepora_937	c003560
Amillepora_938	c039991
Amillepora_939	c005097
Amillepora_940	c044859
Amillepora_941	c039994
Amillepora_942	c044855
Amillepora_943	c044853
Amillepora_944	c044851
Amillepora_945	c007113
Amillepora_946	c007111
Amillepora_947	c007117
Amillepora_948	c007115
Amillepora_949	c007119
Amillepora_950	c046345
Amillepora_951	c046347
Amillepora_952	c046341
Amillepora_953	c046343
Amillepora_954	c046349
Amillepora_955	c019644
Amillepora_956	c019647
Amillepora_957	c019641
Amillepora_958	c019643
Amillepora_959	c019649
Amillepora_960	c013896
