Ofaveolata_385	comp2546_c0_seq1
Ofaveolata_386	comp2555_c0_seq1
Ofaveolata_387	comp2573_c0_seq1
Ofaveolata_388	comp2573_c0_seq2
Ofaveolata_389	comp2581_c0_seq1
Ofaveolata_390	comp2583_c0_seq1
Ofaveolata_391	comp2588_c0_seq1
Ofaveolata_392	comp2591_c0_seq1
Ofaveolata_393	comp2595_c0_seq1
Ofaveolata_394	comp2598_c0_seq1
Ofaveolata_395	comp2599_c0_seq1
Ofaveolata_396	comp2600_c0_seq1
Ofaveolata_397	comp2602_c0_seq1
Ofaveolata_398	comp2604_c0_seq1
Ofaveolata_399	comp2638_c0_seq1
Ofaveolata_400	comp2645_c0_seq1
Ofaveolata_401	comp2649_c0_seq1
Ofaveolata_402	comp2663_c0_seq1
Ofaveolata_403	comp2673_c0_seq1
Ofaveolata_404	comp2674_c0_seq1
Ofaveolata_405	comp2679_c0_seq1
Ofaveolata_406	comp2694_c0_seq1
Ofaveolata_407	comp2704_c0_seq1
Ofaveolata_408	comp2722_c0_seq1
Ofaveolata_409	comp2728_c0_seq1
Ofaveolata_410	comp2735_c0_seq1
Ofaveolata_411	comp2746_c0_seq1
Ofaveolata_412	comp2747_c0_seq1
Ofaveolata_413	comp2759_c0_seq1
Ofaveolata_414	comp2776_c0_seq1
Ofaveolata_415	comp2779_c0_seq1
Ofaveolata_416	comp2792_c0_seq1
Ofaveolata_417	comp2794_c0_seq1
Ofaveolata_418	comp2808_c0_seq1
Ofaveolata_419	comp2810_c0_seq1
Ofaveolata_420	comp2813_c0_seq1
Ofaveolata_421	comp2820_c0_seq1
Ofaveolata_422	comp2831_c0_seq1
Ofaveolata_423	comp2832_c0_seq1
Ofaveolata_424	comp2836_c0_seq1
Ofaveolata_425	comp2836_c0_seq2
Ofaveolata_426	comp2841_c0_seq1
Ofaveolata_427	comp2851_c0_seq1
Ofaveolata_428	comp2851_c0_seq2
Ofaveolata_429	comp2854_c0_seq1
Ofaveolata_430	comp2861_c0_seq1
Ofaveolata_431	comp2879_c0_seq1
Ofaveolata_432	comp2882_c0_seq1
Ofaveolata_433	comp2884_c0_seq1
Ofaveolata_434	comp2888_c0_seq1
Ofaveolata_435	comp2897_c0_seq1
Ofaveolata_436	comp2899_c0_seq1
Ofaveolata_437	comp2900_c0_seq1
Ofaveolata_438	comp2916_c0_seq1
Ofaveolata_439	comp2917_c0_seq1
Ofaveolata_440	comp2925_c0_seq1
Ofaveolata_441	comp2937_c0_seq1
Ofaveolata_442	comp2940_c0_seq1
Ofaveolata_443	comp2944_c0_seq1
Ofaveolata_444	comp2948_c0_seq1
Ofaveolata_445	comp2953_c0_seq1
Ofaveolata_446	comp2968_c0_seq1
Ofaveolata_447	comp2973_c0_seq1
Ofaveolata_448	comp2984_c0_seq1
Ofaveolata_449	comp2985_c0_seq1
Ofaveolata_450	comp3014_c0_seq1
Ofaveolata_451	comp3015_c0_seq1
Ofaveolata_452	comp3022_c0_seq1
Ofaveolata_453	comp3027_c0_seq1
Ofaveolata_454	comp3028_c0_seq1
Ofaveolata_455	comp3030_c0_seq1
Ofaveolata_456	comp3036_c0_seq1
Ofaveolata_457	comp3044_c0_seq1
Ofaveolata_458	comp3053_c0_seq1
Ofaveolata_459	comp3056_c0_seq1
Ofaveolata_460	comp3060_c0_seq1
Ofaveolata_461	comp3060_c0_seq2
Ofaveolata_462	comp3064_c0_seq1
Ofaveolata_463	comp3065_c0_seq1
Ofaveolata_464	comp3067_c0_seq1
Ofaveolata_465	comp3073_c0_seq1
Ofaveolata_466	comp3077_c0_seq1
Ofaveolata_467	comp3080_c0_seq1
Ofaveolata_468	comp3083_c0_seq1
Ofaveolata_469	comp3091_c0_seq1
Ofaveolata_470	comp3091_c0_seq2
