Pdaedalea_271	c11648_g1_i1
Pdaedalea_272	c11644_g1_i2
Pdaedalea_273	c11712_g1_i1
Pdaedalea_274	c11697_g1_i1
Pdaedalea_275	c11649_g1_i1
Pdaedalea_276	c11678_g1_i1
Pdaedalea_277	c11717_g1_i1
Pdaedalea_278	c11677_g1_i1
Pdaedalea_279	c11632_g1_i1
Pdaedalea_280	c11700_g1_i1
Pdaedalea_281	c11630_g1_i1
Pdaedalea_282	c11628_g1_i3
Pdaedalea_283	c11718_g1_i2
Pdaedalea_284	c11702_g1_i1
Pdaedalea_285	c11687_g1_i1
Pdaedalea_286	c11681_g1_i1
Pdaedalea_287	c11652_g1_i1
Pdaedalea_288	c11670_g1_i1
Pdaedalea_289	c11652_g1_i2
Pdaedalea_290	c11647_g1_i1
Pdaedalea_291	c11690_g1_i1
Pdaedalea_292	c11654_g1_i1
Pdaedalea_293	c11710_g1_i1
Pdaedalea_294	c11645_g1_i1
Pdaedalea_295	c11641_g1_i2
Pdaedalea_296	c11641_g1_i3
Pdaedalea_297	c11704_g1_i1
Pdaedalea_298	c11703_g1_i1
Pdaedalea_299	c11636_g1_i1
Pdaedalea_300	c11656_g1_i1
Pdaedalea_301	c11705_g1_i1
Pdaedalea_302	c11661_g1_i1
Pdaedalea_303	c11666_g1_i1
Pdaedalea_304	c11634_g1_i1
Pdaedalea_305	c11650_g1_i1
Pdaedalea_306	c11633_g1_i1
Pdaedalea_307	c11706_g1_i1
Pdaedalea_308	c11635_g1_i1
Pdaedalea_309	c11668_g1_i2
Pdaedalea_310	c11622_g1_i2
Pdaedalea_311	c11640_g1_i1
Pdaedalea_312	c11718_g1_i1
Pdaedalea_313	c11707_g1_i2
Pdaedalea_314	c11673_g1_i1
Pdaedalea_315	c11686_g1_i1
Pdaedalea_316	c11660_g1_i2
Pdaedalea_317	c11642_g1_i1
Pdaedalea_318	c11716_g1_i1
Pdaedalea_319	c11685_g1_i1
Pdaedalea_320	c11682_g1_i1
Pdaedalea_321	c11688_g1_i2
Pdaedalea_322	c11627_g1_i1
Pdaedalea_323	c11620_g1_i1
Pdaedalea_324	c11655_g1_i1
Pdaedalea_325	c11689_g1_i2
Pdaedalea_326	c11674_g1_i1
Pdaedalea_327	c11693_g2_i1
Pdaedalea_328	c11694_g1_i1
Pdaedalea_329	c11624_g1_i1
Pdaedalea_330	c11672_g1_i1
Pdaedalea_331	c11642_g1_i2
Pdaedalea_332	c11647_g1_i2
Pdaedalea_333	c11637_g1_i1
Pdaedalea_334	c11682_g1_i2
Pdaedalea_335	c11688_g1_i3
Pdaedalea_336	c11638_g1_i1
Pdaedalea_337	c11714_g1_i1
Pdaedalea_338	c11630_g1_i2
Pdaedalea_339	c11680_g1_i1
Pdaedalea_340	c11669_g1_i1
Pdaedalea_341	c11684_g1_i1
Pdaedalea_342	c11664_g1_i1
Pdaedalea_343	c11689_g1_i3
Pdaedalea_344	c11692_g1_i1
Pdaedalea_345	c11713_g1_i1
Pdaedalea_346	c11659_g1_i1
Pdaedalea_347	c11635_g2_i1
Pdaedalea_348	c11693_g1_i1
Pdaedalea_349	c11628_g1_i1
Pdaedalea_350	c11708_g1_i1
Pdaedalea_351	c11653_g1_i1
Pdaedalea_352	c11634_g2_i1
Pdaedalea_353	c11651_g1_i1
Pdaedalea_354	c11628_g1_i2
Pdaedalea_355	c11707_g1_i1
Pdaedalea_356	c11709_g1_i1
Pdaedalea_357	c11621_g1_i1
Pdaedalea_358	c11675_g1_i1
Pdaedalea_359	c11676_g1_i1
Pdaedalea_360	c11657_g1_i1
Pdaedalea_361	c11644_g1_i1
Pdaedalea_362	c11639_g1_i1
Pdaedalea_363	c11708_g1_i2
Pdaedalea_364	c11663_g1_i1
Pdaedalea_365	c11623_g1_i1
Pdaedalea_366	c11629_g1_i1
Pdaedalea_367	c11665_g1_i1
Pdaedalea_368	c11688_g1_i1
Pdaedalea_369	c11626_g1_i1
Pdaedalea_370	c11625_g1_i1
Pdaedalea_371	c11668_g1_i1
Pdaedalea_372	c11671_g1_i1
Pdaedalea_373	c11711_g1_i1
Pdaedalea_374	c11646_g1_i1
Pdaedalea_375	c11619_g1_i1
Pdaedalea_376	c11660_g1_i3
Pdaedalea_377	c11662_g1_i1
Pdaedalea_378	c11658_g1_i1
Pdaedalea_379	c11712_g1_i2
Pdaedalea_380	c11715_g1_i1
Pdaedalea_381	c11698_g1_i1
Pdaedalea_382	c11691_g1_i1
Pdaedalea_383	c11695_g1_i1
Pdaedalea_384	c11696_g1_i1
Pdaedalea_385	c11804_g1_i1
Pdaedalea_386	c11810_g1_i2
Pdaedalea_387	c11758_g1_i2
Pdaedalea_388	c11739_g1_i1
Pdaedalea_389	c11778_g1_i2
Pdaedalea_390	c11744_g1_i1
Pdaedalea_391	c11750_g1_i1
Pdaedalea_392	c11768_g1_i1
Pdaedalea_393	c11724_g1_i1
Pdaedalea_394	c11754_g1_i1
Pdaedalea_395	c11786_g1_i2
Pdaedalea_396	c11730_g1_i1
Pdaedalea_397	c11755_g1_i1
Pdaedalea_398	c11809_g1_i1
Pdaedalea_399	c11764_g1_i1
Pdaedalea_400	c11770_g1_i1
Pdaedalea_401	c11766_g1_i1
Pdaedalea_402	c11736_g1_i1
Pdaedalea_403	c11742_g1_i2
Pdaedalea_404	c11799_g1_i1
Pdaedalea_405	c11760_g1_i1
Pdaedalea_406	c11722_g1_i1
Pdaedalea_407	c11732_g1_i1
Pdaedalea_408	c11742_g1_i1
Pdaedalea_409	c11742_g2_i1
Pdaedalea_410	c11720_g1_i1
Pdaedalea_411	c11782_g1_i2
Pdaedalea_412	c11784_g1_i1
Pdaedalea_413	c11734_g1_i1
Pdaedalea_414	c11803_g1_i1
Pdaedalea_415	c11747_g1_i1
Pdaedalea_416	c11746_g1_i2
Pdaedalea_417	c11745_g1_i1
Pdaedalea_418	c11808_g1_i1
Pdaedalea_419	c11810_g1_i1
Pdaedalea_420	c11771_g1_i1
Pdaedalea_421	c11777_g1_i1
Pdaedalea_422	c11805_g1_i1
Pdaedalea_423	c11731_g1_i1
Pdaedalea_424	c11795_g1_i1
Pdaedalea_425	c11811_g1_i1
Pdaedalea_426	c11752_g1_i1
Pdaedalea_427	c11737_g2_i1
Pdaedalea_428	c11775_g1_i1
Pdaedalea_429	c11790_g1_i1
Pdaedalea_430	c11812_g1_i2
Pdaedalea_431	c11743_g1_i1
Pdaedalea_432	c11757_g1_i1
Pdaedalea_433	c11763_g1_i1
Pdaedalea_434	c11744_g1_i2
Pdaedalea_435	c11751_g1_i1
Pdaedalea_436	c11802_g1_i1
Pdaedalea_437	c11746_g1_i1
Pdaedalea_438	c11758_g1_i1
Pdaedalea_439	c11792_g1_i1
Pdaedalea_440	c11745_g1_i2
Pdaedalea_441	c11769_g1_i1
Pdaedalea_442	c11786_g1_i1
Pdaedalea_443	c11812_g1_i1
Pdaedalea_444	c11780_g1_i1
Pdaedalea_445	c11776_g1_i2
Pdaedalea_446	c11728_g1_i1
Pdaedalea_447	c11735_g1_i1
Pdaedalea_448	c11789_g1_i1
Pdaedalea_449	c11787_g1_i1
Pdaedalea_450	c11762_g1_i2
Pdaedalea_451	c11790_g1_i2
Pdaedalea_452	c11790_g2_i1
Pdaedalea_453	c11761_g1_i1
Pdaedalea_454	c11744_g1_i3
Pdaedalea_455	c11794_g1_i1
Pdaedalea_456	c11769_g1_i2
Pdaedalea_457	c11793_g1_i1
Pdaedalea_458	c11726_g1_i1
Pdaedalea_459	c11741_g1_i1
Pdaedalea_460	c11740_g1_i1
Pdaedalea_461	c11733_g1_i1
Pdaedalea_462	c11748_g1_i1
Pdaedalea_463	c11725_g1_i1
Pdaedalea_464	c11776_g1_i4
Pdaedalea_465	c11791_g1_i1
Pdaedalea_466	c11801_g1_i1
Pdaedalea_467	c11721_g1_i1
Pdaedalea_468	c11727_g1_i1
Pdaedalea_469	c11807_g1_i1
Pdaedalea_470	c11813_g1_i1
Pdaedalea_471	c11776_g1_i1
Pdaedalea_472	c11814_g1_i1
Pdaedalea_473	c11783_g1_i1
Pdaedalea_474	c11765_g1_i1
Pdaedalea_475	c11796_g1_i1
Pdaedalea_476	c11813_g1_i2
Pdaedalea_477	c11815_g1_i1
Pdaedalea_478	c11721_g1_i2
Pdaedalea_479	c11729_g1_i1
Pdaedalea_480	c11774_g1_i1
Pdaedalea_481	c11776_g1_i3
Pdaedalea_482	c11778_g1_i1
Pdaedalea_483	c11781_g1_i1
Pdaedalea_484	c11762_g1_i1
Pdaedalea_485	c11729_g2_i1
Pdaedalea_486	c11785_g1_i1
Pdaedalea_487	c11737_g1_i1
Pdaedalea_488	c11784_g1_i2
Pdaedalea_489	c11788_g1_i2
Pdaedalea_490	c11766_g1_i2
Pdaedalea_491	c11753_g1_i2
Pdaedalea_492	c11756_g1_i1
Pdaedalea_493	c11719_g1_i1
Pdaedalea_494	c11733_g1_i2
Pdaedalea_495	c11773_g1_i1
Pdaedalea_496	c11753_g1_i1
Pdaedalea_497	c11797_g1_i1
Pdaedalea_498	c11759_g1_i1
Pdaedalea_499	c11723_g1_i1
Pdaedalea_500	c11730_g1_i2
Pdaedalea_501	c11738_g1_i1
Pdaedalea_502	c11782_g1_i1
Pdaedalea_503	c11779_g1_i1
Pdaedalea_504	c11772_g1_i1
Pdaedalea_505	c11806_g1_i1
Pdaedalea_506	c11724_g1_i2
Pdaedalea_507	c11800_g1_i1
Pdaedalea_508	c11767_g1_i1
Pdaedalea_509	c11738_g1_i2
Pdaedalea_510	c11788_g1_i1
Pdaedalea_511	c11719_g1_i2
Pdaedalea_512	c11749_g1_i1
Pdaedalea_513	c11890_g1_i1
Pdaedalea_514	c11846_g1_i1
Pdaedalea_515	c11865_g2_i1
Pdaedalea_516	c11881_g1_i1
Pdaedalea_517	c11882_g1_i3
Pdaedalea_518	c11867_g1_i1
Pdaedalea_519	c11905_g1_i2
Pdaedalea_520	c11885_g1_i1
Pdaedalea_521	c11882_g1_i1
Pdaedalea_522	c11865_g1_i3
Pdaedalea_523	c11848_g1_i1
Pdaedalea_524	c11826_g1_i1
Pdaedalea_525	c11906_g1_i1
Pdaedalea_526	c11860_g1_i2
Pdaedalea_527	c11847_g1_i1
Pdaedalea_528	c11850_g1_i1
Pdaedalea_529	c11894_g2_i1
Pdaedalea_530	c11903_g1_i1
Pdaedalea_531	c11863_g1_i1
Pdaedalea_532	c11866_g1_i1
Pdaedalea_533	c11825_g1_i2
Pdaedalea_534	c11901_g1_i1
Pdaedalea_535	c11830_g1_i1
Pdaedalea_536	c11870_g1_i1
Pdaedalea_537	c11837_g1_i2
Pdaedalea_538	c11889_g1_i2
Pdaedalea_539	c11859_g1_i1
Pdaedalea_540	c11888_g1_i1
Pdaedalea_541	c11907_g1_i1
Pdaedalea_542	c11832_g1_i1
Pdaedalea_543	c11884_g1_i1
Pdaedalea_544	c11857_g1_i1
Pdaedalea_545	c11879_g1_i1
Pdaedalea_546	c11825_g1_i1
Pdaedalea_547	c11892_g1_i1
Pdaedalea_548	c11878_g1_i1
Pdaedalea_549	c11868_g1_i2
Pdaedalea_550	c11875_g1_i1
Pdaedalea_551	c11910_g1_i2
Pdaedalea_552	c11865_g1_i2
Pdaedalea_553	c11902_g1_i1
Pdaedalea_554	c11885_g1_i2
Pdaedalea_555	c11877_g1_i1
Pdaedalea_556	c11871_g1_i1
Pdaedalea_557	c11851_g1_i1
Pdaedalea_558	c11853_g1_i1
Pdaedalea_559	c11887_g1_i1
Pdaedalea_560	c11897_g1_i1
Pdaedalea_561	c11832_g1_i2
Pdaedalea_562	c11843_g1_i1
Pdaedalea_563	c11882_g1_i2
Pdaedalea_564	c11855_g1_i1
Pdaedalea_565	c11828_g1_i1
Pdaedalea_566	c11850_g1_i2
Pdaedalea_567	c11872_g1_i1
Pdaedalea_568	c11895_g1_i1
Pdaedalea_569	c11844_g1_i1
Pdaedalea_570	c11856_g1_i1
Pdaedalea_571	c11860_g1_i1
Pdaedalea_572	c11874_g1_i2
Pdaedalea_573	c11856_g1_i3
Pdaedalea_574	c11865_g2_i2
Pdaedalea_575	c11872_g1_i2
Pdaedalea_576	c11909_g1_i1
Pdaedalea_577	c11889_g1_i1
Pdaedalea_578	c11881_g1_i2
Pdaedalea_579	c11849_g1_i1
Pdaedalea_580	c11900_g1_i1
Pdaedalea_581	c11817_g1_i1
Pdaedalea_582	c11847_g1_i2
Pdaedalea_583	c11821_g1_i1
Pdaedalea_584	c11819_g1_i1
Pdaedalea_585	c11828_g1_i3
Pdaedalea_586	c11824_g1_i2
Pdaedalea_587	c11883_g1_i1
Pdaedalea_588	c11836_g1_i1
Pdaedalea_589	c11842_g1_i1
Pdaedalea_590	c11818_g1_i1
Pdaedalea_591	c11894_g1_i1
Pdaedalea_592	c11886_g1_i2
Pdaedalea_593	c11838_g1_i1
Pdaedalea_594	c11904_g1_i1
Pdaedalea_595	c11893_g1_i1
Pdaedalea_596	c11907_g1_i2
Pdaedalea_597	c11822_g1_i1
Pdaedalea_598	c11886_g1_i1
Pdaedalea_599	c11896_g1_i1
Pdaedalea_600	c11852_g1_i1
Pdaedalea_601	c11898_g1_i1
Pdaedalea_602	c11826_g1_i2
Pdaedalea_603	c11824_g1_i1
Pdaedalea_604	c11887_g1_i2
Pdaedalea_605	c11861_g1_i1
Pdaedalea_606	c11845_g1_i1
Pdaedalea_607	c11873_g1_i1
Pdaedalea_608	c11874_g1_i1
Pdaedalea_609	c11839_g1_i1
Pdaedalea_610	c11890_g1_i2
Pdaedalea_611	c11833_g1_i1
Pdaedalea_612	c11834_g1_i1
Pdaedalea_613	c11865_g1_i1
Pdaedalea_614	c11880_g1_i1
Pdaedalea_615	c11864_g1_i1
Pdaedalea_616	c11898_g1_i2
Pdaedalea_617	c11837_g1_i1
Pdaedalea_618	c11816_g1_i1
Pdaedalea_619	c11899_g1_i1
Pdaedalea_620	c11859_g1_i2
Pdaedalea_621	c11831_g1_i1
Pdaedalea_622	c11868_g1_i1
Pdaedalea_623	c11910_g1_i1
Pdaedalea_624	c11858_g1_i1
Pdaedalea_625	c11828_g1_i2
Pdaedalea_626	c11881_g2_i1
Pdaedalea_627	c11891_g1_i1
Pdaedalea_628	c11820_g1_i1
Pdaedalea_629	c11823_g1_i1
Pdaedalea_630	c11889_g1_i3
Pdaedalea_631	c11869_g1_i1
Pdaedalea_632	c11827_g1_i1
Pdaedalea_633	c11876_g1_i1
Pdaedalea_634	c11854_g1_i1
Pdaedalea_635	c11853_g1_i2
Pdaedalea_636	c11908_g1_i1
Pdaedalea_637	c11829_g1_i1
Pdaedalea_638	c11856_g1_i2
Pdaedalea_639	c11905_g1_i1
Pdaedalea_640	c11840_g1_i1
Pdaedalea_641	c11928_g1_i2
Pdaedalea_642	c11942_g1_i1
Pdaedalea_643	c11943_g1_i1
Pdaedalea_644	c11975_g2_i1
Pdaedalea_645	c11917_g1_i1
Pdaedalea_646	c11936_g1_i2
Pdaedalea_647	c11966_g1_i3
Pdaedalea_648	c11946_g2_i1
Pdaedalea_649	c11930_g1_i1
Pdaedalea_650	c11992_g1_i1
Pdaedalea_651	c11955_g1_i1
Pdaedalea_652	c11987_g1_i1
Pdaedalea_653	c11937_g1_i1
Pdaedalea_654	c11979_g1_i1
Pdaedalea_655	c11977_g1_i1
Pdaedalea_656	c11997_g1_i1
Pdaedalea_657	c11928_g1_i1
Pdaedalea_658	c11924_g1_i1
Pdaedalea_659	c11948_g1_i1
Pdaedalea_660	c11957_g1_i1
Pdaedalea_661	c11922_g1_i1
Pdaedalea_662	c11995_g1_i2
Pdaedalea_663	c11961_g1_i1
Pdaedalea_664	c11985_g1_i2
Pdaedalea_665	c11986_g1_i1
Pdaedalea_666	c11982_g1_i1
Pdaedalea_667	c11968_g1_i5
Pdaedalea_668	c11991_g1_i2
Pdaedalea_669	c11960_g1_i1
Pdaedalea_670	c11958_g1_i2
Pdaedalea_671	c11964_g1_i1
Pdaedalea_672	c11958_g1_i5
Pdaedalea_673	c11993_g1_i2
Pdaedalea_674	c11981_g1_i1
Pdaedalea_675	c11913_g1_i2
Pdaedalea_676	c11985_g1_i1
Pdaedalea_677	c11926_g1_i2
Pdaedalea_678	c11971_g1_i1
Pdaedalea_679	c11993_g1_i1
Pdaedalea_680	c11925_g1_i1
Pdaedalea_681	c11974_g1_i2
Pdaedalea_682	c11950_g1_i1
Pdaedalea_683	c11931_g1_i1
Pdaedalea_684	c11970_g1_i2
Pdaedalea_685	c11932_g1_i2
Pdaedalea_686	c11954_g1_i2
Pdaedalea_687	c11947_g1_i1
Pdaedalea_688	c11934_g1_i1
Pdaedalea_689	c11915_g1_i1
Pdaedalea_690	c11968_g1_i4
Pdaedalea_691	c11956_g1_i2
Pdaedalea_692	c11929_g1_i1
Pdaedalea_693	c11934_g1_i2
Pdaedalea_694	c11968_g1_i2
Pdaedalea_695	c11935_g1_i2
Pdaedalea_696	c11966_g1_i2
Pdaedalea_697	c11978_g1_i1
Pdaedalea_698	c11979_g1_i2
Pdaedalea_699	c11952_g1_i1
