Gacrhelia_308	c60808_g2_i6
Gacrhelia_309	c60808_g2_i7
Gacrhelia_310	c60808_g2_i8
Gacrhelia_311	c60610_g1_i1
Gacrhelia_312	c60610_g2_i2
Gacrhelia_313	c60610_g3_i1
Gacrhelia_314	c60610_g4_i2
Gacrhelia_315	c60610_g3_i7
Gacrhelia_316	c61084_g1_i9
Gacrhelia_317	c61084_g1_i10
Gacrhelia_318	c61084_g7_i2
Gacrhelia_319	c60826_g3_i1
Gacrhelia_320	c60826_g1_i4
Gacrhelia_321	c60826_g1_i6
Gacrhelia_322	c60826_g1_i7
Gacrhelia_323	c60826_g1_i9
Gacrhelia_324	c60746_g3_i1
Gacrhelia_325	c60746_g3_i2
Gacrhelia_326	c60746_g6_i1
Gacrhelia_327	c60746_g6_i2
Gacrhelia_328	c60746_g5_i2
Gacrhelia_329	c60746_g5_i3
Gacrhelia_330	c60746_g5_i4
Gacrhelia_331	c60746_g10_i1
Gacrhelia_332	c60746_g10_i2
Gacrhelia_333	c60821_g2_i2
Gacrhelia_334	c60821_g4_i1
Gacrhelia_335	c60821_g2_i4
Gacrhelia_336	c60821_g2_i5
Gacrhelia_337	c60821_g2_i6
Gacrhelia_338	c60821_g2_i7
Gacrhelia_339	c60821_g2_i9
Gacrhelia_340	c60821_g2_i10
Gacrhelia_341	c60821_g2_i11
Gacrhelia_342	c60821_g2_i12
Gacrhelia_343	c60898_g3_i1
Gacrhelia_344	c60898_g4_i2
Gacrhelia_345	c60898_g4_i3
Gacrhelia_346	c60898_g5_i2
Gacrhelia_347	c60898_g4_i9
Gacrhelia_348	c60898_g4_i10
Gacrhelia_349	c60898_g4_i11
Gacrhelia_350	c60898_g4_i12
Gacrhelia_351	c60473_g3_i1
Gacrhelia_352	c60473_g3_i2
Gacrhelia_353	c60473_g3_i3
Gacrhelia_354	c60473_g4_i1
Gacrhelia_355	c60473_g5_i2
Gacrhelia_356	c60473_g3_i4
Gacrhelia_357	c60696_g2_i1
Gacrhelia_358	c60696_g2_i3
Gacrhelia_359	c60696_g2_i6
Gacrhelia_360	c60696_g2_i7
Gacrhelia_361	c60696_g2_i11
Gacrhelia_362	c60696_g7_i1
Gacrhelia_363	c60696_g7_i2
Gacrhelia_364	c60696_g7_i3
Gacrhelia_365	c60696_g7_i4
Gacrhelia_366	c60696_g7_i5
Gacrhelia_367	c60696_g7_i6
Gacrhelia_368	c60696_g7_i8
Gacrhelia_369	c60696_g7_i9
Gacrhelia_370	c60696_g7_i10
Gacrhelia_371	c60696_g7_i11
Gacrhelia_372	c60532_g2_i1
Gacrhelia_373	c60532_g3_i1
Gacrhelia_374	c60532_g1_i2
