Mcapitata_320	lcl|c161345_g1_i2
Mcapitata_321	lcl|c161353_g1_i1
Mcapitata_322	lcl|c161691_g1_i2
Mcapitata_323	lcl|c161729_g1_i1
Mcapitata_324	lcl|c161955_g1_i1
Mcapitata_325	lcl|c161959_g2_i1
Mcapitata_326	lcl|c162023_g1_i1
Mcapitata_327	lcl|c162403_g2_i1
Mcapitata_328	lcl|c162495_g1_i1
Mcapitata_329	lcl|c162537_g1_i1
Mcapitata_330	lcl|c162537_g1_i2
Mcapitata_331	lcl|c163018_g1_i1
Mcapitata_332	lcl|c163023_g2_i1
Mcapitata_333	lcl|c163023_g3_i1
Mcapitata_334	lcl|c163027_g1_i3
Mcapitata_335	lcl|c163117_g2_i1
Mcapitata_336	lcl|c163202_g1_i1
Mcapitata_337	lcl|c163332_g1_i1
Mcapitata_338	lcl|c163332_g1_i2
Mcapitata_339	lcl|c163352_g1_i1
Mcapitata_340	lcl|c163354_g1_i1
Mcapitata_341	lcl|c163465_g1_i1
Mcapitata_342	lcl|c163491_g3_i1
Mcapitata_343	lcl|c163510_g1_i3
Mcapitata_344	lcl|c164230_g1_i1
Mcapitata_345	lcl|c164376_g1_i1
Mcapitata_346	lcl|c164461_g2_i1
Mcapitata_347	lcl|c164477_g1_i1
Mcapitata_348	lcl|c164490_g1_i1
Mcapitata_349	lcl|c164607_g3_i1
Mcapitata_350	lcl|c164607_g3_i2
Mcapitata_351	lcl|c164711_g1_i1
Mcapitata_352	lcl|c164895_g1_i1
Mcapitata_353	lcl|c165174_g1_i1
Mcapitata_354	lcl|c165194_g1_i1
Mcapitata_355	lcl|c165248_g1_i1
Mcapitata_356	lcl|c165389_g1_i1
Mcapitata_357	lcl|c165478_g2_i1
Mcapitata_358	lcl|c165602_g1_i1
Mcapitata_359	lcl|c165774_g1_i1
Mcapitata_360	lcl|c165785_g1_i1
Mcapitata_361	lcl|c165933_g1_i1
Mcapitata_362	lcl|c165966_g1_i1
Mcapitata_363	lcl|c166074_g1_i1
Mcapitata_364	lcl|c166210_g1_i1
Mcapitata_365	lcl|c166314_g1_i1
Mcapitata_366	lcl|c166597_g1_i1
Mcapitata_367	lcl|c166617_g1_i1
Mcapitata_368	lcl|c166997_g1_i1
Mcapitata_369	lcl|c167034_g1_i1
Mcapitata_370	lcl|c167058_g2_i1
Mcapitata_371	lcl|c167180_g1_i1
Mcapitata_372	lcl|c167238_g1_i1
Mcapitata_373	lcl|c167307_g2_i1
Mcapitata_374	lcl|c167648_g2_i1
Mcapitata_375	lcl|c167770_g1_i2
Mcapitata_376	lcl|c167783_g1_i1
Mcapitata_377	lcl|c16799_g1_i1
Mcapitata_378	lcl|c168009_g1_i2
Mcapitata_379	lcl|c168292_g1_i1
Mcapitata_380	lcl|c168581_g1_i1
Mcapitata_381	lcl|c1685_g1_i1
Mcapitata_382	lcl|c168799_g1_i1
Mcapitata_383	lcl|c168944_g1_i1
Mcapitata_384	lcl|c169074_g1_i1
Mcapitata_385	lcl|c169137_g1_i1
Mcapitata_386	lcl|c169251_g2_i1
Mcapitata_387	lcl|c169334_g4_i1
Mcapitata_388	lcl|c169397_g1_i1
Mcapitata_389	lcl|c169467_g1_i1
Mcapitata_390	lcl|c169738_g3_i1
Mcapitata_391	lcl|c169738_g3_i2
Mcapitata_392	lcl|c169738_g3_i3
Mcapitata_393	lcl|c169761_g1_i1
Mcapitata_394	lcl|c169834_g1_i1
Mcapitata_395	lcl|c169842_g1_i1
Mcapitata_396	lcl|c170299_g2_i1
Mcapitata_397	lcl|c170453_g1_i1
Mcapitata_398	lcl|c170553_g1_i1
Mcapitata_399	lcl|c17057_g1_i1
Mcapitata_400	lcl|c170859_g1_i1
Mcapitata_401	lcl|c170928_g1_i1
Mcapitata_402	lcl|c170972_g1_i1
Mcapitata_403	lcl|c171074_g2_i1
Mcapitata_404	lcl|c171155_g1_i1
Mcapitata_405	lcl|c171610_g1_i1
