Acervicorn_269	GASU01000269.1
Acervicorn_270	GASU01000270.1
Acervicorn_271	GASU01000271.1
Acervicorn_272	GASU01000272.1
Acervicorn_273	GASU01000273.1
Acervicorn_274	GASU01000274.1
Acervicorn_275	GASU01000275.1
Acervicorn_276	GASU01000276.1
Acervicorn_277	GASU01000277.1
Acervicorn_278	GASU01000278.1
Acervicorn_279	GASU01000279.1
Acervicorn_280	GASU01000280.1
Acervicorn_281	GASU01000281.1
Acervicorn_282	GASU01000282.1
Acervicorn_283	GASU01000283.1
Acervicorn_284	GASU01000284.1
Acervicorn_285	GASU01000285.1
Acervicorn_286	GASU01000286.1
Acervicorn_287	GASU01000287.1
Acervicorn_288	GASU01000288.1
Acervicorn_289	GASU01000289.1
Acervicorn_290	GASU01000290.1
Acervicorn_291	GASU01000291.1
Acervicorn_292	GASU01000292.1
Acervicorn_293	GASU01000293.1
Acervicorn_294	GASU01000294.1
Acervicorn_295	GASU01000295.1
Acervicorn_296	GASU01000296.1
Acervicorn_297	GASU01000297.1
Acervicorn_298	GASU01000298.1
Acervicorn_299	GASU01000299.1
Acervicorn_300	GASU01000300.1
Acervicorn_301	GASU01000301.1
Acervicorn_302	GASU01000302.1
Acervicorn_303	GASU01000303.1
Acervicorn_304	GASU01000304.1
Acervicorn_305	GASU01000305.1
Acervicorn_306	GASU01000306.1
Acervicorn_307	GASU01000307.1
Acervicorn_308	GASU01000308.1
Acervicorn_309	GASU01000309.1
Acervicorn_310	GASU01000310.1
Acervicorn_311	GASU01000311.1
Acervicorn_312	GASU01000312.1
Acervicorn_313	GASU01000313.1
Acervicorn_314	GASU01000314.1
Acervicorn_315	GASU01000315.1
Acervicorn_316	GASU01000316.1
Acervicorn_317	GASU01000317.1
Acervicorn_318	GASU01000318.1
Acervicorn_319	GASU01000319.1
Acervicorn_320	GASU01000320.1
Acervicorn_321	GASU01000321.1
Acervicorn_322	GASU01000322.1
Acervicorn_323	GASU01000323.1
Acervicorn_324	GASU01000324.1
Acervicorn_325	GASU01000325.1
Acervicorn_326	GASU01000326.1
Acervicorn_327	GASU01000327.1
Acervicorn_328	GASU01000328.1
Acervicorn_329	GASU01000329.1
Acervicorn_330	GASU01000330.1
Acervicorn_331	GASU01000331.1
Acervicorn_332	GASU01000332.1
Acervicorn_333	GASU01000333.1
Acervicorn_334	GASU01000334.1
Acervicorn_335	GASU01000335.1
Acervicorn_336	GASU01000336.1
Acervicorn_337	GASU01000337.1
Acervicorn_338	GASU01000338.1
Acervicorn_339	GASU01000339.1
Acervicorn_340	GASU01000340.1
Acervicorn_341	GASU01000341.1
Acervicorn_342	GASU01000342.1
Acervicorn_343	GASU01000343.1
Acervicorn_344	GASU01000344.1
Acervicorn_345	GASU01000345.1
Acervicorn_346	GASU01000346.1
Acervicorn_347	GASU01000347.1
Acervicorn_348	GASU01000348.1
