Ssiderea_434	comp57445_c0_seq1
Ssiderea_435	comp57504_c0_seq1
Ssiderea_436	comp57512_c0_seq1
Ssiderea_437	comp57512_c0_seq2
Ssiderea_438	comp57690_c0_seq1
Ssiderea_439	comp57873_c0_seq1
Ssiderea_440	comp57889_c0_seq1
Ssiderea_441	comp58044_c0_seq1
Ssiderea_442	comp58061_c0_seq1
Ssiderea_443	comp58061_c0_seq2
Ssiderea_444	comp58095_c0_seq1
Ssiderea_445	comp58132_c0_seq1
Ssiderea_446	comp58142_c0_seq1
Ssiderea_447	comp58161_c0_seq1
Ssiderea_448	comp58195_c0_seq1
Ssiderea_449	comp58227_c0_seq1
Ssiderea_450	comp58336_c0_seq1
Ssiderea_451	comp58553_c0_seq1
Ssiderea_452	comp58612_c0_seq1
Ssiderea_453	comp58665_c0_seq1
Ssiderea_454	comp58842_c0_seq1
Ssiderea_455	comp59113_c0_seq1
Ssiderea_456	comp59229_c0_seq1
Ssiderea_457	comp59242_c0_seq1
Ssiderea_458	comp59245_c0_seq1
Ssiderea_459	comp59245_c0_seq2
Ssiderea_460	comp59246_c0_seq1
Ssiderea_461	comp59344_c0_seq2
Ssiderea_462	comp59384_c0_seq1
Ssiderea_463	comp59647_c0_seq1
Ssiderea_464	comp59761_c0_seq1
Ssiderea_465	comp59829_c0_seq1
Ssiderea_466	comp59914_c0_seq1
Ssiderea_467	comp59914_c0_seq2
Ssiderea_468	comp59947_c0_seq2
Ssiderea_469	comp60054_c0_seq1
Ssiderea_470	comp60135_c0_seq1
Ssiderea_471	comp60206_c0_seq1
Ssiderea_472	comp60248_c0_seq1
Ssiderea_473	comp60267_c0_seq1
Ssiderea_474	comp60272_c0_seq1
Ssiderea_475	comp60468_c0_seq1
Ssiderea_476	comp60536_c0_seq1
Ssiderea_477	comp60581_c0_seq1
Ssiderea_478	comp60719_c0_seq1
Ssiderea_479	comp60723_c0_seq1
Ssiderea_480	comp60790_c0_seq1
Ssiderea_481	comp60798_c0_seq1
Ssiderea_482	comp60804_c0_seq1
Ssiderea_483	comp60907_c0_seq1
Ssiderea_484	comp61003_c0_seq1
Ssiderea_485	comp61026_c0_seq1
Ssiderea_486	comp61034_c0_seq1
Ssiderea_487	comp61145_c0_seq1
Ssiderea_488	comp61223_c0_seq1
Ssiderea_489	comp61228_c0_seq1
Ssiderea_490	comp61236_c0_seq1
Ssiderea_491	comp61291_c0_seq1
Ssiderea_492	comp61305_c0_seq1
Ssiderea_493	comp61389_c0_seq1
Ssiderea_494	comp61578_c0_seq1
Ssiderea_495	comp61600_c0_seq1
Ssiderea_496	comp61675_c0_seq1
Ssiderea_497	comp61718_c0_seq1
Ssiderea_498	comp61791_c0_seq1
Ssiderea_499	comp61796_c0_seq1
Ssiderea_500	comp61806_c0_seq1
Ssiderea_501	comp61883_c0_seq1
Ssiderea_502	comp62078_c0_seq1
Ssiderea_503	comp62086_c0_seq1
Ssiderea_504	comp62146_c0_seq1
Ssiderea_505	comp62146_c0_seq2
Ssiderea_506	comp62299_c0_seq1
Ssiderea_507	comp62302_c0_seq1
Ssiderea_508	comp62362_c0_seq1
Ssiderea_509	comp62497_c0_seq1
Ssiderea_510	comp62589_c0_seq1
Ssiderea_511	comp62700_c0_seq1
Ssiderea_512	comp62700_c0_seq2
Ssiderea_513	comp62886_c0_seq1
Ssiderea_514	comp62898_c0_seq1
Ssiderea_515	comp62905_c0_seq1
Ssiderea_516	comp62935_c0_seq1
Ssiderea_517	comp63086_c0_seq1
Ssiderea_518	comp63230_c0_seq1
Ssiderea_519	comp63272_c0_seq1
Ssiderea_520	comp63360_c0_seq1
Ssiderea_521	comp63390_c0_seq1
Ssiderea_522	comp63432_c0_seq1
Ssiderea_523	comp63781_c0_seq1
Ssiderea_524	comp63902_c0_seq1
Ssiderea_525	comp63946_c0_seq1
Ssiderea_526	comp63972_c0_seq1
Ssiderea_527	comp63976_c0_seq1
Ssiderea_528	comp63985_c0_seq1
Ssiderea_529	comp63991_c0_seq1
Ssiderea_530	comp64262_c0_seq1
Ssiderea_531	comp64414_c0_seq1
Ssiderea_532	comp64440_c0_seq1
Ssiderea_533	comp64473_c0_seq1
Ssiderea_534	comp64527_c0_seq1
Ssiderea_535	comp64758_c0_seq1
Ssiderea_536	comp64935_c0_seq1
Ssiderea_537	comp65070_c0_seq1
Ssiderea_538	comp65356_c0_seq1
Ssiderea_539	comp65428_c0_seq1
Ssiderea_540	comp65448_c0_seq1
Ssiderea_541	comp65705_c0_seq1
Ssiderea_542	comp66016_c0_seq1
Ssiderea_543	comp66018_c0_seq1
Ssiderea_544	comp66241_c0_seq1
Ssiderea_545	comp66323_c0_seq1
Ssiderea_546	comp66323_c0_seq2
Ssiderea_547	comp66331_c0_seq1
Ssiderea_548	comp66530_c0_seq1
Ssiderea_549	comp66670_c0_seq1
Ssiderea_550	comp66682_c0_seq1
