Pstrigosa_396	comp57538_c0_seq2
Pstrigosa_397	comp56578_c0_seq1
Pstrigosa_398	comp49608_c0_seq1
Pstrigosa_399	comp47003_c0_seq1
Pstrigosa_400	comp55487_c0_seq1
Pstrigosa_401	comp58532_c0_seq2
Pstrigosa_402	comp58156_c0_seq1
Pstrigosa_403	comp50433_c0_seq1
Pstrigosa_404	comp47020_c1_seq2
Pstrigosa_405	comp53385_c0_seq1
Pstrigosa_406	comp50213_c0_seq2
Pstrigosa_407	comp57255_c0_seq1
Pstrigosa_408	comp50114_c0_seq1
Pstrigosa_409	comp48579_c0_seq1
Pstrigosa_410	comp56262_c0_seq1
Pstrigosa_411	comp47627_c0_seq1
Pstrigosa_412	comp58260_c0_seq1
Pstrigosa_413	comp46237_c0_seq1
Pstrigosa_414	comp53339_c0_seq2
Pstrigosa_415	comp48965_c0_seq5
Pstrigosa_416	comp57064_c0_seq10
Pstrigosa_417	comp54101_c0_seq1
Pstrigosa_418	comp48988_c0_seq1
Pstrigosa_419	comp47844_c0_seq1
Pstrigosa_420	comp47020_c1_seq4
Pstrigosa_421	comp56892_c0_seq2
Pstrigosa_422	comp54274_c0_seq2
Pstrigosa_423	comp56885_c0_seq2
Pstrigosa_424	comp51387_c0_seq1
Pstrigosa_425	comp54037_c0_seq2
Pstrigosa_426	comp57392_c0_seq1
Pstrigosa_427	comp54727_c0_seq2
Pstrigosa_428	comp51561_c0_seq7
Pstrigosa_429	comp50031_c0_seq1
Pstrigosa_430	comp50618_c0_seq1
Pstrigosa_431	comp48647_c0_seq1
Pstrigosa_432	comp51497_c0_seq1
Pstrigosa_433	comp54875_c0_seq1
Pstrigosa_434	comp52259_c0_seq2
Pstrigosa_435	comp47731_c0_seq1
Pstrigosa_436	comp47221_c0_seq7
Pstrigosa_437	comp56799_c0_seq3
Pstrigosa_438	comp57324_c0_seq2
Pstrigosa_439	comp55841_c0_seq2
Pstrigosa_440	comp46512_c0_seq1
Pstrigosa_441	comp50735_c0_seq1
Pstrigosa_442	comp51564_c0_seq8
Pstrigosa_443	comp51564_c0_seq1
Pstrigosa_444	comp58415_c0_seq1
