Plobata_267	c106991_g1_i1
Plobata_268	c106812_g1_i1
Plobata_269	c112026_g1_i1
Plobata_270	c112043_g1_i1
Plobata_271	c111469_g1_i1
Plobata_272	c111344_g1_i1
Plobata_273	c111459_g1_i1
Plobata_274	c111643_g1_i1
Plobata_275	c111264_g1_i1
Plobata_276	c111241_g1_i1
Plobata_277	c111716_g1_i1
Plobata_278	c111871_g1_i1
Plobata_279	c112025_g1_i1
Plobata_280	c111461_g1_i1
Plobata_281	c111964_g1_i1
Plobata_282	c111408_g1_i1
Plobata_283	c111937_g1_i1
Plobata_284	c111510_g1_i1
Plobata_285	c111770_g1_i1
Plobata_286	c111686_g1_i1
Plobata_287	c111397_g1_i1
Plobata_288	c112001_g1_i1
Plobata_289	c111392_g1_i1
Plobata_290	c111769_g1_i1
Plobata_291	c111252_g1_i1
Plobata_292	c111805_g1_i1
Plobata_293	c111758_g1_i1
Plobata_294	c111861_g1_i1
Plobata_295	c111929_g1_i1
Plobata_296	c111345_g1_i1
Plobata_297	c111987_g1_i1
Plobata_298	c111364_g1_i1
Plobata_299	c111611_g1_i1
Plobata_300	c111427_g1_i1
Plobata_301	c111096_g1_i1
Plobata_302	c111605_g1_i1
Plobata_303	c111291_g1_i1
Plobata_304	c111694_g1_i1
Plobata_305	c111286_g1_i1
Plobata_306	c111633_g1_i1
Plobata_307	c111134_g1_i1
Plobata_308	c111150_g1_i1
Plobata_309	c111269_g1_i1
Plobata_310	c111904_g1_i1
Plobata_311	c111254_g1_i1
Plobata_312	c111623_g1_i1
Plobata_313	c111483_g1_i1
Plobata_314	c111463_g1_i1
Plobata_315	c111309_g1_i1
Plobata_316	c111272_g1_i1
Plobata_317	c111116_g1_i1
Plobata_318	c3531_g1_i1
Plobata_319	c3575_g1_i1
Plobata_320	c3583_g1_i1
Plobata_321	c3975_g1_i1
Plobata_322	c3841_g1_i1
Plobata_323	c3268_g1_i1
Plobata_324	c3498_g1_i1
Plobata_325	c3449_g1_i1
Plobata_326	c3698_g1_i1
Plobata_327	c3823_g1_i1
Plobata_328	c3376_g1_i2
Plobata_329	c3128_g1_i1
Plobata_330	c3202_g1_i1
Plobata_331	c3815_g1_i2
Plobata_332	c3415_g1_i1
Plobata_333	c4121_g1_i1
Plobata_334	c3805_g1_i1
Plobata_335	c3805_g1_i2
Plobata_336	c4072_g1_i1
Plobata_337	c3729_g1_i1
Plobata_338	c4057_g1_i1
Plobata_339	c3472_g1_i1
Plobata_340	c3124_g1_i2
Plobata_341	c4144_g1_i1
Plobata_342	c4078_g1_i1
Plobata_343	c3909_g1_i1
Plobata_344	c3909_g1_i2
Plobata_345	c3113_g2_i1
Plobata_346	c3328_g1_i1
Plobata_347	c3181_g1_i1
Plobata_348	c3129_g1_i1
Plobata_349	c3378_g1_i1
Plobata_350	c3355_g1_i1
Plobata_351	c3346_g1_i1
Plobata_352	c3989_g1_i1
Plobata_353	c3777_g1_i1
Plobata_354	c3151_g1_i1
Plobata_355	c3292_g1_i1
Plobata_356	c4046_g1_i1
Plobata_357	c3656_g1_i1
Plobata_358	c4064_g1_i1
Plobata_359	c3775_g1_i1
Plobata_360	c3693_g1_i1
Plobata_361	c3921_g1_i1
Plobata_362	c3746_g1_i1
Plobata_363	c4017_g1_i1
Plobata_364	c4043_g1_i1
Plobata_365	c3598_g1_i1
Plobata_366	c3489_g1_i1
Plobata_367	c3514_g1_i1
Plobata_368	c3297_g1_i1
Plobata_369	c3548_g1_i1
Plobata_370	c3956_g1_i1
Plobata_371	c3417_g1_i1
Plobata_372	c3653_g1_i2
Plobata_373	c3370_g1_i1
Plobata_374	c3532_g1_i1
Plobata_375	c3532_g1_i2
Plobata_376	c4088_g1_i1
Plobata_377	c3443_g1_i1
Plobata_378	c4132_g1_i1
Plobata_379	c3638_g1_i1
Plobata_380	c3266_g1_i1
Plobata_381	c3771_g1_i1
Plobata_382	c3792_g1_i1
Plobata_383	c4105_g1_i1
Plobata_384	c3987_g1_i1
Plobata_385	c3460_g1_i1
Plobata_386	c3100_g1_i1
Plobata_387	c3186_g1_i1
Plobata_388	c3186_g1_i2
Plobata_389	c3536_g1_i1
Plobata_390	c4520_g1_i2
Plobata_391	c5163_g1_i1
Plobata_392	c4587_g1_i1
Plobata_393	c4281_g1_i1
Plobata_394	c4450_g1_i1
Plobata_395	c5093_g1_i1
Plobata_396	c5058_g1_i1
Plobata_397	c5076_g1_i1
Plobata_398	c4597_g1_i1
Plobata_399	c4389_g1_i1
Plobata_400	c4764_g1_i1
Plobata_401	c4324_g1_i1
Plobata_402	c4685_g1_i1
Plobata_403	c5018_g1_i1
Plobata_404	c5102_g2_i1
Plobata_405	c5004_g1_i1
Plobata_406	c4395_g1_i1
Plobata_407	c5161_g1_i1
Plobata_408	c4624_g1_i1
Plobata_409	c5210_g1_i1
Plobata_410	c5210_g1_i2
Plobata_411	c4756_g1_i1
Plobata_412	c4756_g1_i2
Plobata_413	c4760_g1_i1
Plobata_414	c4760_g1_i2
