Maequitube_415	c84613_g4_i3
Maequitube_416	c84613_g4_i5
Maequitube_417	c84613_g4_i6
Maequitube_418	c85122_g1_i1
Maequitube_419	c85122_g1_i2
Maequitube_420	c85007_g1_i1
Maequitube_421	c85007_g1_i2
Maequitube_422	c85007_g1_i3
Maequitube_423	c85007_g1_i5
Maequitube_424	c85007_g1_i6
Maequitube_425	c84902_g1_i1
Maequitube_426	c84902_g1_i2
Maequitube_427	c84902_g1_i3
Maequitube_428	c84902_g1_i5
Maequitube_429	c84902_g1_i6
Maequitube_430	c84902_g1_i7
Maequitube_431	c84902_g1_i8
Maequitube_432	c84902_g1_i10
Maequitube_433	c84902_g1_i11
Maequitube_434	c85176_g2_i1
Maequitube_435	c85176_g2_i2
Maequitube_436	c85176_g2_i3
Maequitube_437	c84919_g1_i1
Maequitube_438	c85304_g1_i2
Maequitube_439	c85304_g1_i3
Maequitube_440	c85304_g1_i4
Maequitube_441	c85254_g1_i1
Maequitube_442	c84872_g3_i1
Maequitube_443	c84872_g5_i1
Maequitube_444	c84872_g5_i2
Maequitube_445	c84872_g3_i2
Maequitube_446	c84872_g3_i3
Maequitube_447	c84785_g1_i2
Maequitube_448	c84785_g1_i4
Maequitube_449	c84785_g1_i5
Maequitube_450	c84521_g1_i2
Maequitube_451	c84521_g1_i3
Maequitube_452	c84521_g1_i5
Maequitube_453	c84521_g1_i6
Maequitube_454	c84521_g1_i7
Maequitube_455	c84521_g1_i8
Maequitube_456	c85386_g1_i1
Maequitube_457	c85386_g1_i2
Maequitube_458	c85386_g1_i3
Maequitube_459	c85386_g1_i4
Maequitube_460	c85386_g1_i5
Maequitube_461	c85386_g1_i6
Maequitube_462	c84619_g2_i1
Maequitube_463	c84619_g2_i3
Maequitube_464	c84619_g2_i4
Maequitube_465	c84619_g7_i1
Maequitube_466	c84619_g8_i1
Maequitube_467	c84619_g8_i2
Maequitube_468	c84619_g2_i6
Maequitube_469	c84619_g2_i7
Maequitube_470	c84734_g2_i1
Maequitube_471	c84734_g2_i3
Maequitube_472	c84734_g2_i4
Maequitube_473	c84542_g1_i2
Maequitube_474	c84542_g1_i3
Maequitube_475	c84659_g1_i1
Maequitube_476	c84659_g1_i2
Maequitube_477	c84659_g1_i4
Maequitube_478	c84659_g2_i2
Maequitube_479	c84659_g1_i7
Maequitube_480	c84659_g1_i10
Maequitube_481	c85234_g1_i1
Maequitube_482	c85234_g1_i2
Maequitube_483	c85271_g1_i1
Maequitube_484	c85271_g2_i1
Maequitube_485	c85271_g2_i2
Maequitube_486	c85271_g2_i3
Maequitube_487	c85271_g2_i4
Maequitube_488	c85271_g2_i5
Maequitube_489	c85271_g3_i2
Maequitube_490	c85271_g3_i3
Maequitube_491	c85271_g3_i5
Maequitube_492	c85271_g3_i6
Maequitube_493	c85271_g3_i7
Maequitube_494	c85271_g3_i8
Maequitube_495	c85271_g3_i10
Maequitube_496	c84911_g2_i1
Maequitube_497	c84911_g1_i2
Maequitube_498	c84911_g2_i2
Maequitube_499	c84911_g1_i3
Maequitube_500	c84911_g2_i3
Maequitube_501	c85141_g3_i1
Maequitube_502	c85141_g6_i1
Maequitube_503	c85141_g6_i2
Maequitube_504	c85141_g6_i3
Maequitube_505	c85141_g6_i4
Maequitube_506	c85141_g6_i5
Maequitube_507	c85141_g7_i1
Maequitube_508	c85141_g7_i2
Maequitube_509	c85141_g7_i3
Maequitube_510	c85141_g6_i6
Maequitube_511	c85233_g1_i3
Maequitube_512	c85233_g1_i4
Maequitube_513	c85233_g1_i5
Maequitube_514	c85233_g1_i6
Maequitube_515	c84709_g1_i1
Maequitube_516	c84709_g1_i2
Maequitube_517	c84709_g1_i3
Maequitube_518	c84709_g1_i4
Maequitube_519	c84777_g2_i1
Maequitube_520	c84777_g2_i2
Maequitube_521	c84777_g2_i4
Maequitube_522	c84546_g1_i1
Maequitube_523	c84546_g2_i2
Maequitube_524	c84546_g2_i4
Maequitube_525	c84546_g3_i1
