Gastreata_286	c80003_g1_i12
Gastreata_287	c80154_g1_i1
Gastreata_288	c80154_g1_i2
Gastreata_289	c80154_g1_i3
Gastreata_290	c79874_g1_i1
Gastreata_291	c79874_g3_i1
Gastreata_292	c79874_g2_i2
Gastreata_293	c79874_g5_i1
Gastreata_294	c79874_g6_i1
Gastreata_295	c80391_g2_i3
Gastreata_296	c80089_g1_i1
Gastreata_297	c80089_g1_i2
Gastreata_298	c79934_g1_i1
Gastreata_299	c79934_g1_i2
Gastreata_300	c80369_g1_i1
Gastreata_301	c80369_g1_i2
Gastreata_302	c80369_g1_i3
Gastreata_303	c80369_g1_i4
Gastreata_304	c80369_g6_i1
Gastreata_305	c80203_g2_i2
Gastreata_306	c80203_g2_i3
Gastreata_307	c80203_g2_i4
Gastreata_308	c79932_g1_i1
Gastreata_309	c79932_g1_i3
Gastreata_310	c79932_g1_i4
Gastreata_311	c79932_g1_i5
Gastreata_312	c79932_g1_i6
Gastreata_313	c79932_g1_i7
Gastreata_314	c79932_g1_i8
Gastreata_315	c79932_g1_i9
Gastreata_316	c79932_g1_i10
Gastreata_317	c79932_g1_i11
Gastreata_318	c79932_g1_i12
Gastreata_319	c79963_g2_i1
Gastreata_320	c79963_g2_i2
Gastreata_321	c79963_g2_i4
Gastreata_322	c79963_g2_i5
Gastreata_323	c79893_g3_i1
Gastreata_324	c79893_g4_i1
Gastreata_325	c79893_g3_i2
Gastreata_326	c79893_g4_i2
Gastreata_327	c79893_g4_i4
Gastreata_328	c79893_g4_i5
Gastreata_329	c79893_g4_i6
Gastreata_330	c79893_g3_i3
Gastreata_331	c79893_g4_i7
Gastreata_332	c79893_g4_i8
Gastreata_333	c79893_g6_i1
Gastreata_334	c79755_g2_i2
Gastreata_335	c79755_g2_i3
Gastreata_336	c79755_g5_i1
Gastreata_337	c79755_g2_i5
Gastreata_338	c79755_g5_i2
Gastreata_339	c80069_g1_i2
Gastreata_340	c80069_g1_i3
Gastreata_341	c80069_g1_i4
Gastreata_342	c80069_g1_i5
Gastreata_343	c80069_g2_i2
Gastreata_344	c79442_g1_i1
Gastreata_345	c79442_g1_i2
Gastreata_346	c79442_g1_i3
Gastreata_347	c79442_g1_i4
Gastreata_348	c79442_g1_i5
Gastreata_349	c79442_g1_i6
Gastreata_350	c79442_g1_i7
Gastreata_351	c79442_g1_i8
Gastreata_352	c79700_g1_i1
Gastreata_353	c79700_g2_i1
Gastreata_354	c79700_g1_i2
Gastreata_355	c79700_g4_i1
Gastreata_356	c79700_g2_i2
Gastreata_357	c80197_g2_i1
Gastreata_358	c80197_g2_i2
Gastreata_359	c80197_g1_i2
Gastreata_360	c80197_g1_i3
Gastreata_361	c80197_g2_i3
Gastreata_362	c80197_g2_i4
Gastreata_363	c80197_g2_i5
Gastreata_364	c80197_g1_i4
Gastreata_365	c80197_g1_i5
Gastreata_366	c80197_g2_i8
Gastreata_367	c79509_g4_i2
Gastreata_368	c79626_g1_i1
Gastreata_369	c79626_g1_i2
Gastreata_370	c79626_g1_i3
Gastreata_371	c80287_g1_i1
Gastreata_372	c80287_g1_i2
Gastreata_373	c80209_g1_i1
Gastreata_374	c80209_g1_i2
Gastreata_375	c80305_g1_i1
Gastreata_376	c80305_g1_i2
Gastreata_377	c80305_g1_i3
Gastreata_378	c80170_g1_i2
Gastreata_379	c80170_g1_i3
Gastreata_380	c80170_g1_i5
Gastreata_381	c80170_g1_i6
Gastreata_382	c80170_g1_i7
Gastreata_383	c80170_g1_i8
Gastreata_384	c79761_g1_i1
Gastreata_385	c79761_g1_i4
Gastreata_386	c79761_g1_i5
Gastreata_387	c79761_g1_i6
Gastreata_388	c79761_g1_i7
Gastreata_389	c79761_g1_i9
Gastreata_390	c79761_g2_i4
Gastreata_391	c79761_g2_i6
Gastreata_392	c79761_g4_i1
Gastreata_393	c79761_g4_i2
Gastreata_394	c80446_g2_i1
Gastreata_395	c80446_g2_i2
Gastreata_396	c80446_g2_i3
Gastreata_397	c80446_g2_i4
Gastreata_398	c80446_g2_i5
Gastreata_399	c80446_g1_i2
Gastreata_400	c80446_g2_i6
Gastreata_401	c79951_g1_i1
Gastreata_402	c79951_g1_i2
Gastreata_403	c79951_g1_i3
Gastreata_404	c79951_g1_i4
Gastreata_405	c79951_g1_i5
Gastreata_406	c79951_g1_i6
Gastreata_407	c79951_g1_i7
Gastreata_408	c79951_g1_i9
Gastreata_409	c80072_g1_i1
Gastreata_410	c80072_g1_i2
Gastreata_411	c80072_g1_i3
Gastreata_412	c80072_g1_i4
Gastreata_413	c80072_g4_i1
Gastreata_414	c80072_g1_i6
Gastreata_415	c80072_g1_i7
Gastreata_416	c80072_g1_i8
Gastreata_417	c80072_g4_i2
Gastreata_418	c80072_g5_i1
Gastreata_419	c80072_g1_i10
Gastreata_420	c80072_g5_i2
Gastreata_421	c80072_g1_i11
Gastreata_422	c80072_g1_i12
Gastreata_423	c80430_g1_i1
Gastreata_424	c80430_g1_i3
Gastreata_425	c80430_g1_i4
Gastreata_426	c80430_g2_i1
Gastreata_427	c79729_g1_i1
Gastreata_428	c79729_g5_i1
Gastreata_429	c79871_g1_i1
Gastreata_430	c79930_g2_i1
Gastreata_431	c79870_g1_i1
Gastreata_432	c79702_g1_i1
Gastreata_433	c79702_g1_i2
Gastreata_434	c79702_g1_i3
Gastreata_435	c79605_g1_i1
Gastreata_436	c79605_g1_i2
Gastreata_437	c79605_g1_i4
Gastreata_438	c79605_g1_i5
Gastreata_439	c79605_g1_i6
Gastreata_440	c79605_g1_i7
Gastreata_441	c79432_g2_i2
Gastreata_442	c79432_g2_i3
Gastreata_443	c79432_g2_i4
Gastreata_444	c79432_g5_i1
Gastreata_445	c79432_g5_i2
Gastreata_446	c79432_g5_i3
Gastreata_447	c79432_g5_i4
Gastreata_448	c79432_g5_i6
Gastreata_449	c79432_g8_i1
Gastreata_450	c79432_g8_i2
Gastreata_451	c80162_g1_i1
Gastreata_452	c80162_g1_i2
Gastreata_453	c80162_g1_i3
Gastreata_454	c79520_g1_i2
Gastreata_455	c79520_g1_i3
Gastreata_456	c79520_g1_i4
Gastreata_457	c79520_g1_i6
Gastreata_458	c79520_g1_i7
Gastreata_459	c80045_g2_i2
Gastreata_460	c80045_g3_i1
Gastreata_461	c80045_g3_i4
Gastreata_462	c80045_g4_i1
Gastreata_463	c80045_g3_i5
Gastreata_464	c80045_g4_i2
Gastreata_465	c80045_g4_i3
Gastreata_466	c80045_g3_i8
Gastreata_467	c80045_g4_i4
Gastreata_468	c80045_g2_i3
Gastreata_469	c80045_g4_i6
Gastreata_470	c79723_g4_i1
Gastreata_471	c79723_g4_i2
Gastreata_472	c79723_g9_i1
Gastreata_473	c79723_g4_i3
Gastreata_474	c79723_g4_i4
Gastreata_475	c80140_g1_i1
Gastreata_476	c80140_g1_i2
Gastreata_477	c80140_g1_i3
Gastreata_478	c80140_g1_i5
Gastreata_479	c80140_g1_i6
Gastreata_480	c80140_g1_i7
Gastreata_481	c80140_g1_i9
Gastreata_482	c80140_g1_i10
Gastreata_483	c80140_g3_i1
Gastreata_484	c80140_g1_i11
Gastreata_485	c80140_g1_i12
Gastreata_486	c80140_g1_i13
Gastreata_487	c80140_g1_i15
Gastreata_488	c79770_g1_i2
Gastreata_489	c79770_g1_i3
Gastreata_490	c79770_g1_i4
Gastreata_491	c79770_g1_i5
Gastreata_492	c80297_g1_i2
Gastreata_493	c80297_g1_i3
Gastreata_494	c80297_g1_i4
Gastreata_495	c80297_g1_i6
Gastreata_496	c80297_g1_i7
Gastreata_497	c80297_g1_i8
Gastreata_498	c80131_g2_i1
Gastreata_499	c80131_g2_i2
Gastreata_500	c80131_g2_i3
Gastreata_501	c79914_g2_i1
Gastreata_502	c79685_g1_i1
Gastreata_503	c79685_g1_i2
Gastreata_504	c79685_g1_i3
Gastreata_505	c80009_g1_i10
Gastreata_506	c79484_g1_i1
Gastreata_507	c79484_g1_i2
Gastreata_508	c79929_g1_i2
Gastreata_509	c79929_g2_i1
Gastreata_510	c79929_g1_i7
Gastreata_511	c79456_g1_i1
Gastreata_512	c79456_g2_i1
Gastreata_513	c79456_g2_i2
Gastreata_514	c79456_g2_i3
Gastreata_515	c79456_g4_i1
Gastreata_516	c79456_g1_i2
Gastreata_517	c79456_g2_i4
Gastreata_518	c80108_g1_i1
Gastreata_519	c80108_g1_i2
Gastreata_520	c80108_g1_i3
Gastreata_521	c80108_g1_i4
Gastreata_522	c80108_g1_i7
Gastreata_523	c79514_g1_i1
Gastreata_524	c79514_g2_i1
Gastreata_525	c79514_g2_i2
Gastreata_526	c79514_g2_i6
Gastreata_527	c79514_g2_i7
Gastreata_528	c79514_g2_i8
Gastreata_529	c79514_g2_i9
Gastreata_530	c79514_g2_i10
Gastreata_531	c79514_g2_i12
Gastreata_532	c79514_g2_i13
Gastreata_533	c79706_g1_i1
Gastreata_534	c79706_g1_i2
Gastreata_535	c79706_g1_i3
Gastreata_536	c79706_g1_i4
Gastreata_537	c79706_g1_i5
Gastreata_538	c80280_g1_i1
Gastreata_539	c80280_g1_i3
Gastreata_540	c80280_g2_i1
Gastreata_541	c79661_g1_i1
Gastreata_542	c80145_g1_i1
Gastreata_543	c80145_g1_i3
Gastreata_544	c80145_g1_i4
Gastreata_545	c80145_g1_i5
Gastreata_546	c80114_g1_i1
Gastreata_547	c80114_g2_i2
Gastreata_548	c80114_g2_i4
Gastreata_549	c80114_g2_i5
Gastreata_550	c80114_g2_i6
Gastreata_551	c80114_g2_i7
Gastreata_552	c80114_g2_i8
Gastreata_553	c80142_g1_i1
Gastreata_554	c80142_g1_i2
Gastreata_555	c80142_g1_i4
Gastreata_556	c80142_g1_i5
Gastreata_557	c80382_g1_i1
Gastreata_558	c79935_g1_i1
Gastreata_559	c79935_g1_i2
Gastreata_560	c79935_g1_i4
Gastreata_561	c79446_g2_i2
Gastreata_562	c79446_g3_i1
Gastreata_563	c79446_g2_i3
Gastreata_564	c79446_g2_i4
Gastreata_565	c79446_g2_i5
Gastreata_566	c79902_g1_i1
Gastreata_567	c79902_g1_i3
Gastreata_568	c79749_g1_i1
Gastreata_569	c79749_g1_i3
Gastreata_570	c79749_g1_i5
Gastreata_571	c80189_g2_i1
Gastreata_572	c79781_g1_i1
Gastreata_573	c79781_g1_i2
Gastreata_574	c79754_g1_i1
Gastreata_575	c79754_g1_i2
Gastreata_576	c80310_g1_i1
Gastreata_577	c80310_g1_i2
Gastreata_578	c80062_g3_i1
Gastreata_579	c80062_g3_i2
Gastreata_580	c80062_g3_i5
Gastreata_581	c80062_g3_i6
Gastreata_582	c80062_g5_i1
Gastreata_583	c80062_g5_i2
Gastreata_584	c80062_g5_i3
Gastreata_585	c79757_g1_i1
Gastreata_586	c79757_g1_i2
Gastreata_587	c79757_g1_i3
Gastreata_588	c79757_g1_i4
Gastreata_589	c79757_g1_i5
Gastreata_590	c79757_g1_i6
Gastreata_591	c79757_g1_i7
Gastreata_592	c79757_g1_i8
Gastreata_593	c79757_g1_i9
Gastreata_594	c79757_g1_i10
Gastreata_595	c79757_g1_i11
Gastreata_596	c79757_g1_i12
Gastreata_597	c79757_g1_i13
Gastreata_598	c79757_g1_i14
Gastreata_599	c79757_g1_i15
Gastreata_600	c79519_g1_i1
Gastreata_601	c79849_g1_i1
Gastreata_602	c79727_g1_i1
Gastreata_603	c79727_g1_i2
Gastreata_604	c79727_g1_i3
Gastreata_605	c79727_g1_i4
Gastreata_606	c80086_g1_i1
Gastreata_607	c80086_g1_i2
Gastreata_608	c79858_g1_i1
Gastreata_609	c80262_g1_i1
Gastreata_610	c80262_g1_i2
Gastreata_611	c79728_g1_i3
Gastreata_612	c79728_g1_i4
Gastreata_613	c79728_g1_i5
Gastreata_614	c79728_g1_i6
Gastreata_615	c79728_g1_i7
Gastreata_616	c79728_g1_i8
Gastreata_617	c79989_g2_i1
Gastreata_618	c79989_g2_i2
Gastreata_619	c79989_g2_i3
Gastreata_620	c79989_g2_i4
Gastreata_621	c80286_g1_i1
Gastreata_622	c80286_g1_i2
Gastreata_623	c80286_g2_i3
Gastreata_624	c80286_g2_i4
Gastreata_625	c79538_g2_i1
Gastreata_626	c79538_g2_i2
Gastreata_627	c79538_g2_i3
Gastreata_628	c79538_g2_i5
Gastreata_629	c79538_g2_i6
Gastreata_630	c79538_g2_i7
Gastreata_631	c79538_g2_i9
Gastreata_632	c79538_g2_i10
Gastreata_633	c79538_g2_i11
Gastreata_634	c79791_g1_i3
Gastreata_635	c79791_g1_i4
Gastreata_636	c79791_g1_i5
Gastreata_637	c79791_g1_i6
Gastreata_638	c79791_g1_i8
Gastreata_639	c79791_g1_i9
Gastreata_640	c79791_g1_i10
Gastreata_641	c80113_g1_i1
Gastreata_642	c80113_g2_i1
Gastreata_643	c80113_g1_i2
Gastreata_644	c80113_g3_i1
Gastreata_645	c80113_g1_i3
Gastreata_646	c80113_g1_i4
Gastreata_647	c80113_g1_i5
Gastreata_648	c80113_g1_i6
Gastreata_649	c80113_g1_i7
Gastreata_650	c80113_g2_i3
Gastreata_651	c80113_g2_i4
Gastreata_652	c80113_g4_i1
Gastreata_653	c80113_g5_i1
Gastreata_654	c80113_g6_i1
Gastreata_655	c80113_g1_i9
Gastreata_656	c80113_g5_i2
Gastreata_657	c80113_g1_i10
Gastreata_658	c79795_g1_i1
Gastreata_659	c79795_g1_i3
Gastreata_660	c79639_g2_i3
Gastreata_661	c79639_g2_i4
Gastreata_662	c79811_g1_i1
Gastreata_663	c79811_g1_i5
Gastreata_664	c79811_g1_i7
Gastreata_665	c79811_g1_i9
Gastreata_666	c79811_g1_i11
Gastreata_667	c80157_g1_i1
Gastreata_668	c80157_g1_i2
Gastreata_669	c80157_g1_i4
Gastreata_670	c80157_g1_i5
Gastreata_671	c80157_g3_i1
Gastreata_672	c80157_g3_i2
Gastreata_673	c80157_g3_i5
Gastreata_674	c80157_g3_i6
Gastreata_675	c80157_g5_i1
Gastreata_676	c79949_g1_i4
